date,slot,price_yuan_per_kwh_difference,adjusted_kwh_difference,energy_after_kwh_difference
2025-06-21,16,-0.084,-70.76278,-1779.20515117
2025-06-21,17,-0.1309,-114.8895,-1779.20515117
2025-06-21,18,-0.0789,-42.6367364608,-1779.20515117
2025-06-21,19,-0.0313,-64.3290525721,-1779.20515117
2025-06-21,20,-0.0303,-78.9255,-1779.20515117
2025-06-21,21,-0.0266,-68.7291518733,-1779.20515117
2025-06-21,22,-0.0494,-93.6659236155,-1779.20515117
2025-06-21,23,-0.0812,-145.945,-1779.20515117
2025-06-21,24,-0.0693,-77.6894917264,-1779.20515117
2025-06-21,25,-0.0857,318.78975007,-1723.64564408
2025-06-21,26,-0.1268,-106.056,-1723.64564408
2025-06-21,27,-0.1156,-93.4270940599,-1723.64564408
2025-06-21,28,-0.1101,-82.93054223,-1723.64564408
2025-06-21,29,-0.1252,-130.079,-1723.64564408
2025-06-21,30,-0.1142,-89.5254452586,-1723.64564408
2025-06-21,31,-0.0951,4874.93673977,-973.645644076
2025-06-21,32,-0.0906,4948.12113629,-223.645644076
2025-06-21,33,-0.1092,-130.935322271,-223.645644076
2025-06-21,34,-0.1539,0,-202.909484788
2025-06-21,35,-0.2012,0,-188.506797546
2025-06-21,36,-0.221,0,-171.474548375
2025-06-21,37,-0.2614,0,-158.771627761
2025-06-21,38,-0.3027,0,-143.989115687
2025-06-21,39,-0.2741,0,-131.245029844
2025-06-21,40,-0.2438,0,-127.565443714
2025-06-21,41,-0.2343,0,-108.861209634
2025-06-21,42,-0.2112,0,-89.2717533576
2025-06-21,43,-0.2294,0,-77.5045590408
2025-06-21,44,-0.2612,0,-44.9618479159
2025-06-21,45,-0.2265,0,-12.5997280021
2025-06-21,46,-0.2513,0,-5.15152583566
2025-06-21,47,-0.3258,0,-5.15152583566
2025-06-21,48,-0.3146,0,-5.15152583566
2025-06-21,49,-0.3248,0,-5.15152583566
2025-06-21,50,-0.3585,0,-5.15152583566
2025-06-21,51,-0.2978,0,-5.15152583566
2025-06-21,52,-0.2125,0,-5.15152583566
2025-06-21,53,-0.1596,0,-5.15152583566
2025-06-21,54,-0.1416,0,-5.15152583566
2025-06-21,55,-0.1849,0,-5.15152583566
2025-06-21,56,-0.2466,0,-5.15152583566
2025-06-21,57,-0.2445,0,-5.15152583566
2025-06-21,58,-0.2405,0,-5.15152583566
2025-06-21,59,-0.2765,0,-5.15152583566
2025-06-21,60,-0.3217,0,-5.15152583566
2025-06-21,61,-0.2939,0,-5.15152583566
2025-06-21,62,-0.2397,0,-5.15152583566
2025-06-21,63,-0.2786,0,-5.15152583566
2025-06-21,64,-0.2623,0,-5.15152583566
2025-06-21,65,-0.1711,0,-5.15152583566
2025-06-21,66,-0.1501,0,-5.15152583566
2025-06-21,67,-0.2106,0,-5.15152583566
2025-06-21,68,-0.2755,0,-5.15152583566
2025-06-21,69,-0.2527,0,-5.15152583566
2025-06-21,70,-0.1951,0,-5.15152583566
2025-06-21,71,-0.1688,0,-5.15152583566
2025-06-21,72,-0.1938,0,-5.15152583566
2025-06-21,73,-0.2054,0,-22.2695956044
2025-06-21,74,-0.1979,0,-22.2695956044
2025-06-21,75,-0.2285,0,-22.2695956044
2025-06-21,76,-0.2814,0,0
2025-06-21,77,-0.2815,0,0
2025-06-21,78,-0.1826,0,0
2025-06-21,79,-0.2033,0,0
2025-06-21,80,-0.2902,0,0
2025-06-21,81,-0.1794,0,0
2025-06-21,82,-0.1056,0,0
2025-06-21,83,-0.1621,0,0
2025-06-21,84,-0.2009,0,0
2025-06-21,85,-0.1864,0,0
2025-06-21,86,-0.1697,0,0
2025-06-21,87,-0.2234,0,0
2025-06-21,88,-0.2849,0,0
2025-06-21,89,-0.2876,0,0
2025-06-21,90,-0.2253,0,0
2025-06-21,91,-0.2061,0,0
2025-06-21,92,-0.2356,0,0
2025-06-21,93,-0.2223,-275.798215108,0
2025-06-21,94,-0.2131,-291.874015401,0
2025-06-21,95,-0.2332,-247.306998157,0
2025-06-21,96,-0.2527,-253.181917874,0
2025-06-21,97,-0.2529,-246.143844634,0
2025-06-21,98,-0.2507,-213.898093694,0
2025-06-21,99,-0.2785,-283.234044669,0
2025-06-21,100,-0.3019,-238.213287267,0
2025-06-21,101,-0.2975,-217.94732605,0
2025-06-21,102,-0.2757,-122.495243959,0
2025-06-21,103,-0.2667,-157.974121241,0
2025-06-21,104,-0.2824,-133.992173645,0
2025-06-21,105,-0.2964,-220.469979512,0
2025-06-21,106,-0.2297,-112.730366038,0
2025-06-21,107,-0.1301,-175.901531823,-2.5229972466
2025-06-21,108,-0.1247,2718.30438933,521.481788933
2025-06-21,109,-0.1073,-77.885054921,535.3182537
2025-06-21,110,-0.0742,-1050.41264582,373.977510441
2025-06-21,111,-0.1256,-3512.67035395,-249.926666407
2025-06-21,112,-0.1351,0,-222.578690293
2025-06-21,113,-0.0848,0,-210.908412516
2025-06-21,114,-0.089,0,-193.928461613
2025-06-21,115,-0.1284,0,-178.369394511
2025-06-21,116,-0.1607,0,-153.702811744
2025-06-21,117,-0.1678,0,-137.81378357
2025-06-21,118,-0.1769,0,-126.301896619
2025-06-21,119,-0.1924,0,-113.245970693
2025-06-21,120,-0.1902,0,-96.7244018382
2025-06-21,121,-0.1708,0,-78.8681430189
2025-06-21,122,-0.1509,0,-44.1565689448
2025-06-21,123,-0.1445,0,-24.8158974212
2025-06-21,124,-0.116,-43.3516424405,0
2025-06-21,125,-0.0762,-172.7165,-0.4296
2025-06-21,126,-0.0723,-54.854735,6.42106951852
2025-06-21,127,-0.0661,-89.13098,6.42106951852
2025-06-21,128,-0.0523,-166.746,6.28280462963
2025-06-21,129,-0.0628,-143.454415,0
2025-06-21,130,-0.0609,-54.942774,0
2025-06-21,131,-0.0267,-4954.814,-730.94385
2025-06-21,132,0.0189,-4661.29838204,-1417.45722181
2025-06-21,133,0.0333,-240.816235,-1439.13058831
2025-06-21,134,0.0029,-4948.9885,-2165.59933831
2025-06-21,135,-0.0446,-4956.368405,-2892.61555993
2025-06-21,136,-0.0595,-5000,-3625.67810922
2025-06-21,137,-0.0428,-5027.0575,-4366.00479533
2025-06-21,138,-0.0376,-5047.91222,-5095.60174121
2025-06-21,139,-0.0304,-5034.344035,-5828.16779548
2025-06-21,140,-0.0376,-5026.3156484,-6559.50986741
2025-06-21,141,-0.0841,-5095.414075,-7304.62949478
2025-06-21,142,-0.0587,-318.18847,-7310.85721353
2025-06-21,143,0.0436,-213.0515,-7333.70248575
2025-09-23,0,-0.0189,-5066.73633,-8085.9867975
2025-09-23,1,0.0079,-5073.089345,-8835.9867975
2025-09-23,2,0.027,3821.34315,-8250
2025-09-23,3,-0.0155,-133.64302,-8250
2025-09-23,4,-0.0157,-143.52307,-8250
2025-09-23,5,0.0264,-51.917,-8250
2025-09-23,6,0.0102,4854.45888,-7500
2025-09-23,7,0.0063,4941.50305,-6750
2025-09-23,8,0.025,4936.0305,-6000
2025-09-23,9,0.0006,4888.530175,-5250
2025-09-23,10,-0.0153,4909.117945,-4500
2025-09-23,11,0.0102,4813.552,-3750
2025-09-23,12,0.0501,4896.9969,-3000
2025-09-23,13,0.0351,4885.13732,-2250
2025-09-23,14,-0.0142,-85.986,-2250
2025-09-23,15,-0.008,-104.101245,-2250
2025-09-23,16,0.0253,-121.964905,-2250
2025-09-23,17,0.042,-100.1755,-2250
2025-09-23,18,0.021,-52.3073555054,-2250
2025-09-23,19,-0.0265,-50.7505538003,-2250
2025-09-23,20,-0.0544,-45.6405,-2250
2025-09-23,21,-0.0161,-91.0209038906,-2250
2025-09-23,22,0.0321,-91.54029,-2250
2025-09-23,23,0.0288,-55.5155,-2250
2025-09-23,24,-0.0353,-134.073035,-2250
2025-09-23,25,-0.0516,-126.673984326,-2250
2025-09-23,26,-0.0142,4915.874,-1500
2025-09-23,27,-0.0168,4908.45373291,-750
2025-09-23,28,-0.0249,4911.81321256,0
2025-09-23,29,-0.0139,-105.453,0
2025-09-23,30,-0.0003,-67.2291419151,0
2025-09-23,31,0.0079,-70.000815,0
2025-09-23,32,0.0024,-75.1745710785,0
2025-09-23,33,-0.01,-108.992158372,0
2025-09-23,34,0.0444,-63.0108310323,0
2025-09-23,35,0.1226,0,21.3014353249
2025-09-23,36,0.1023,0,38.1140109382
2025-09-23,37,0.0691,0,46.8626970816
2025-09-23,38,0.0673,0,68.6053871361
2025-09-23,39,0.0545,0,90.0431253046
2025-09-23,40,0.0231,0,102.763695346
2025-09-23,41,-0.0063,-54.1678535101,109.930322388
2025-09-23,42,-0.0031,-2787.73616375,-375.950487307
2025-09-23,43,0.0297,-2041.85084764,-705.486252297
2025-09-23,44,0.0452,-194.677312631,-695.704103312
2025-09-23,45,-0.0021,-196.911379736,-700.414599595
2025-09-23,46,-0.0131,0,-676.568778198
2025-09-23,47,0.0232,0,-664.365073572
2025-09-23,48,0.0238,0,-636.825022308
2025-09-23,49,0.0228,0,-596.471836205
2025-09-23,50,0.0378,0,-556.666695395
2025-09-23,51,0.0352,0,-506.622218937
2025-09-23,52,-0.0256,0,-474.532737369
2025-09-23,53,-0.0844,0,-447.424290582
2025-09-23,54,-0.033,0,-436.598669972
2025-09-23,55,0.0249,0,-400.437040258
2025-09-23,56,0.0372,0,-355.88026344
2025-09-23,57,0.0417,0,-317.252190257
2025-09-23,58,0.0156,0,-270.524697699
2025-09-23,59,-0.0193,0,-243.206525536
2025-09-23,60,-0.008,0,-219.05336697
2025-09-23,61,-0.0075,0,-174.163509576
2025-09-23,62,-0.0476,0,-126.774938253
2025-09-23,63,-0.0858,0,-85.9470664111
2025-09-23,64,-0.0209,0,-56.7545980918
2025-09-23,65,0.0614,-1428.22481279,-229.503303539
2025-09-23,66,-0.0253,-408.534436074,-236.13472387
2025-09-23,67,-0.0755,-416.717061502,-240.97737185
2025-09-23,68,-0.0131,-327.239876764,-240.97737185
2025-09-23,69,0.0263,-434.31037535,-240.97737185
2025-09-23,70,-0.0116,-340.51165278,-240.97737185
2025-09-23,71,-0.0819,-223.069990615,-240.97737185
2025-09-23,72,-0.093,-744.740083269,-327.290424946
2025-09-23,73,-0.0692,0,-296.96885994
2025-09-23,74,-0.0593,30.5351691844,-249.446344038
2025-09-23,75,-0.0842,-174.462188205,-249.446344038
2025-09-23,76,-0.0746,0,-213.391892956
2025-09-23,77,-0.0066,0,-198.079362632
2025-09-23,78,0.0649,0,-171.681381031
2025-09-23,79,0.0438,0,-135.24935524
2025-09-23,80,-0.0241,0,-94.8495612457
2025-09-23,81,-0.0049,0,-62.1578933314
2025-09-23,82,-0.0078,0,-45.0097485925
2025-09-23,83,-0.0566,0,-23.8555185289
2025-09-23,84,-0.058,0,0
2025-09-23,85,-0.034,0,0
2025-09-23,86,-0.0128,0,29.8547839712
2025-09-23,87,0.0084,0,62.3804142568
2025-09-23,88,0.0537,0,93.9681050587
2025-09-23,89,0.1014,1545.68201161,354.564871417
2025-09-23,90,0.0975,-2180.02019269,47.3807641304
2025-09-23,91,0.0629,-251.360194457,47.3807641304
2025-09-23,92,0.024,-299.129763549,38.6351436054
2025-09-23,93,0.0002,-329.888010635,29.9479585446
2025-09-23,94,0.0325,-169.051119462,29.7551825508
2025-09-23,95,0.0923,-226.737090509,17.6836590886
2025-09-23,96,0.1054,-144.488745055,3.54021414062
2025-09-23,97,0.1118,-177.217117133,0
2025-09-23,98,0.1136,-253.10362225,1.30706130046
2025-09-23,99,0.0711,-160.671553232,-3.89246917186
2025-09-23,100,0.045,-181.683115902,-9.34558374126
2025-09-23,101,0.084,-106.778660979,-4.31588428751
2025-09-23,102,0.167,-169.533559889,-4.31588428751
2025-09-23,103,0.1559,-128.799352276,-4.83591826679
2025-09-23,104,0.0925,-79.0596175238,1.38842157723
2025-09-23,105,0.1383,-107.783724671,6.18280096833
2025-09-23,106,0.1157,-126.845584073,0
2025-09-23,107,0.0287,-4676.30279121,-844.569217798
2025-09-23,108,0.0712,-4606.3626,-1676.236072
2025-09-23,109,0.1292,-4854.082015,-2555.43883218
2025-09-23,110,0.1318,-4693.22686422,-3389.94834408
2025-09-23,111,0.1095,-137.240431171,-3394.83010094
2025-09-23,112,0.0108,-4635.94971551,-4230.85413622
2025-09-23,113,-0.1046,-25.858,-4207.11524733
2025-09-23,114,-0.0944,-45.788473249,-4196.16929341
2025-09-23,115,-0.0236,0,-4170.70232211
2025-09-23,116,0.0175,4511.017,-3315.84991471
2025-09-23,117,-0.0065,4669.194885,-2427.57747497
2025-09-23,118,-0.026,4650.69566602,-1549.15838774
2025-09-23,119,-0.0367,4643.0255,-664.775147
2025-09-23,120,-0.0826,0,-642.26512188
2025-09-23,121,-0.0449,-1399.98442692,-872.092328704
2025-09-23,122,0.034,4440.9305,-20.8729768519
2025-09-23,123,-0.0086,0,-1.98157037037
2025-09-23,124,-0.0101,-89.73552,0
2025-09-23,125,0.0552,-168.2825,-6.822825
2025-09-23,126,0.0481,-182.678865,-17.76385875
2025-09-23,127,0.0457,-117.004035,-19.1206612593
2025-09-23,128,0.0688,-137.814,-19.1206612593
2025-09-23,129,0.0578,-70.80435,0
2025-09-23,130,0.0774,-102.64361,0
2025-09-23,131,0.0945,-4858.6735,-715.466775
2025-09-23,132,0.0138,-4974.3007863,-1451.63314744
2025-09-23,133,0.0053,-230.784915,-1464.01773094
2025-09-23,134,0.0641,-4910.6345,-2190.83403094
2025-09-23,135,0.021,-4969.29683,-2910.73546144
2025-09-23,136,0.0051,-5000,-3642.6897044
2025-09-23,137,0.0371,-4881.259,-4358.6129294
2025-09-23,138,0.0031,-4915.009525,-5085.7042349
2025-09-23,139,-0.0116,-5006.303955,-5819.33893415
2025-09-23,140,0.0135,-4935.556,-6539.25236841
2025-09-23,141,0.0072,-4934.949555,-7267.10614116
2025-09-23,142,-0.0067,-242.618295,-7285.51735791
2025-09-23,143,-0.0017,-386.4195,-7317.8995005
2025-12-21,0,0.0016,112.08444,-7350
2025-12-21,1,0.0048,-79.25717,-7350
2025-12-21,2,0.0119,4948.828,-6600
2025-12-21,3,-0.0134,4913.920635,-5850
2025-12-21,4,-0.0171,4935.792145,-5100
2025-12-21,5,0.0186,3938.0985,-4500
2025-12-21,6,0.0486,4934.649325,-3750
2025-12-21,7,0.0164,4893.931795,-3000
2025-12-21,8,-0.0318,4896.7515,-2250
2025-12-21,9,0.0056,4915.919905,-1500
2025-12-21,10,0.0417,4934.63662,-750
2025-12-21,11,0.034,-89.641,-750
2025-12-21,12,0.0257,-62.17636,-750
2025-12-21,13,0.0305,4909.65499,0
2025-12-21,14,0.0346,4907.4375,750
2025-12-21,15,0.0165,-58.006195,750
2025-12-21,16,0.0017,-74.98069,750
2025-12-21,17,0.022,-83.4605,750
2025-12-21,18,0.0773,-62.887275,750
2025-12-21,19,0.0712,-88.42288,750
2025-12-21,20,0.033,-129.503,750
2025-12-21,21,0.0766,-127.373275,750
2025-12-21,22,0.0663,-90.81032,750
2025-12-21,23,-0.0054,-55.598,750
2025-12-21,24,0.0011,-110.084464716,750
2025-12-21,25,0.0416,-111.383232765,750
2025-12-21,26,0.0651,-73.9165,750
2025-12-21,27,0.0631,-53.842204358,750
2025-12-21,28,0.0376,-66.3753484124,750
2025-12-21,29,0.0358,-103.3415,750
2025-12-21,30,0.1017,-31.6954178835,750
2025-12-21,31,0.0997,-51.94653,750
2025-12-21,32,0.0379,-123.05,750
2025-12-21,33,0.0625,-5101.31942054,0
2025-12-21,34,0.1207,-74.3808523594,0
2025-12-21,35,0.1495,-125.473698738,0
2025-12-21,36,0.1442,4006.73589634,772.826500688
2025-12-21,37,0.1601,-150.244120073,778.194129635
2025-12-21,38,0.1838,-127.19693325,784.011364219
2025-12-21,39,0.1575,-81.4420357749,794.554418705
2025-12-21,40,0.1726,-80.64838,812.035349135
2025-12-21,41,0.2261,-51.4045093437,822.444406012
2025-12-21,42,0.219,-70.0159788909,827.908653364
2025-12-21,43,0.2015,-133.634453627,826.246953469
2025-12-21,44,0.208,-105.346473832,823.4546463
2025-12-21,45,0.221,-5018.84451434,81.9623725942
2025-12-21,46,0.2303,-145.093497048,81.6898537808
2025-12-21,47,0.2446,-156.71357309,81.6898537807
2025-12-21,48,0.2775,-99.9902638508,81.6898537808
2025-12-21,49,0.2952,-135.03952218,69.7430831348
2025-12-21,50,0.2893,0,95.3813716565
2025-12-21,51,0.284,0,109.356414069
2025-12-21,52,0.2854,0,125.070039731
2025-12-21,53,0.2871,0,158.931124603
2025-12-21,54,0.2782,0,192.366979614
2025-12-21,55,0.26,2514.55874857,688.141927559
2025-12-21,56,0.2511,2412.08734203,1169.75730252
2025-12-21,57,0.2762,-302.314722481,1152.78151403
2025-12-21,58,0.3253,-2704.65752554,704.850728753
2025-12-21,59,0.3776,0,725.116705389
2025-12-21,60,0.4108,0,764.447822655
2025-12-21,61,0.4003,-2408.18895333,366.252083462
2025-12-21,62,0.3772,-1939.21092419,44.9723006346
2025-12-21,63,0.393,0,72.5070067403
2025-12-21,64,0.3661,-280.618152861,43.8202011178
2025-12-21,65,0.3032,-166.874617318,43.8202011178
2025-12-21,66,0.2949,-119.155946307,43.8202011178
2025-12-21,67,0.28,-160.944775568,43.8202011178
2025-12-21,68,0.2551,-230.303749537,43.8202011178
2025-12-21,69,0.2742,-164.723474092,43.8202011178
2025-12-21,70,0.2455,-205.82392545,43.8202011178
2025-12-21,71,0.1986,-240.898935385,43.8202011178
2025-12-21,72,0.2525,-216.423628796,43.8202011178
2025-12-21,73,0.2554,-243.829014881,43.8202011178
2025-12-21,74,0.1831,-244.674051184,43.8202011178
2025-12-21,75,0.1716,-271.310459941,43.8202011178
2025-12-21,76,0.2117,-185.090114245,44.0036528817
2025-12-21,77,0.2554,-177.173717896,37.0908639907
2025-12-21,78,0.2612,-52.8565550508,57.9290325471
2025-12-21,79,0.2148,-121.330439519,74.1973690357
2025-12-21,80,0.1686,-103.710302826,105.526562494
2025-12-21,81,0.2052,-171.727537509,103.646495214
2025-12-21,82,0.29,-1993.56370427,-232.829173132
2025-12-21,83,0.3598,0,-214.891191322
2025-12-21,84,0.3687,0,-189.705562563
2025-12-21,85,0.3404,0,-175.262596753
2025-12-21,86,0.3325,0,-166.249618293
2025-12-21,87,0.375,0,-146.244818934
2025-12-21,88,0.3272,0,-134.459669336
2025-12-21,89,0.218,-169.485310074,-140.755352485
2025-12-21,90,0.222,-67.6100804355,-135.775883522
2025-12-21,91,0.2495,-162.978283422,-140.942775939
2025-12-21,92,0.2288,-43.3475430297,-127.44894064
2025-12-21,93,0.1858,764.93766436,0
2025-12-21,94,0.187,-38.4852336816,4.9023000989
2025-12-21,95,0.2049,-83.7313672068,3.76996059204
2025-12-21,96,0.1529,-171.098293697,-5.4927583516
2025-12-21,97,0.1154,-30.1889715734,1.21549799396
2025-12-21,98,0.1391,-122.941720707,1.21549799396
2025-12-21,99,0.1837,-53.260482924,6.26560623191
2025-12-21,100,0.1903,-78.4988481826,7.31579125546
2025-12-21,101,0.1615,-94.7812452448,3.87499994472
2025-12-21,102,0.151,-56.7899342075,13.3144049773
2025-12-21,103,0.1541,-122.279425774,13.3144049773
2025-12-21,104,0.152,-50.5397659657,13.3144049773
2025-12-21,105,0.127,-49.0548077498,13.335355914
2025-12-21,106,0.0665,-81.6017111847,12.1187454863
2025-12-21,107,0.0166,-38.139,18.8397640048
2025-12-21,108,0.0396,-31.7995807726,25.7772450963
2025-12-21,109,0.0379,-37.6060178798,36.1692952546
