slot,hour_center,baseline_kwh,optimized_kwh,delta_kwh,price,cost_delta_yuan
38,6.41666666667,591.454483333,0,-591.454483333,0.8759,-518.054981952
39,6.58333333333,557.486866667,0,-557.486866667,0.8601,-479.49445402
40,6.75,529.2397,0,-529.2397,0.8442,-446.78415474
41,6.91666666667,502.470716667,0,-502.470716667,0.8334,-418.75909527
42,7.08333333333,455.443566667,0,-455.443566667,0.8092,-368.544934147
43,7.25,410.0667,0,-410.0667,0.7972,-326.90517324
44,7.41666666667,356.996783333,0,-356.996783333,0.7644,-272.88834118
45,7.58333333333,283.363566667,0,-283.363566667,0.6899,-195.492524643
46,7.75,320.684116667,0,-320.684116667,0.86,-275.788340333
47,7.91666666667,418.42145,0,-418.42145,1.1617,-486.080198465
48,8.08333333333,381.910783333,0,-381.910783333,1.1683,-446.186368168
49,8.25,309.55635,0,-309.55635,1.0956,-339.14993706
50,8.41666666667,264.6194,0,-264.6194,1.0849,-287.08558706
51,8.58333333333,213.7408,0,-213.7408,1.061,-226.7789888
52,8.75,178.558916667,0,-178.558916667,1.043,-186.236950083
53,8.91666666667,155.392116667,0,-155.392116667,1.036,-160.986232867
54,9.08333333333,112.2595,0,-112.2595,1.0147,-113.90971465
55,9.25,64.3968666667,0,-64.3968666667,0.9922,-63.8945711067
56,9.41666666667,22.56225,0,-22.56225,0.97,-21.8853825
57,9.58333333333,0,0,0,0.9422,0
58,9.75,0,0,0,0.9569,0
59,9.91666666667,0,0,0,0.9977,0
60,10.0833333333,0,0,0,0.9919,0
61,10.25,0,0,0,0.9588,0
62,10.4166666667,0,0,0,0.9549,0
63,10.5833333333,0,0,0,0.9839,0
64,10.75,0,0,0,0.799,0
65,10.9166666667,0,0,0,0.5025,0
66,11.0833333333,0,575.170916667,575.170916667,0.4662,268.14468135
67,11.25,0,0,0,0.5007,0
68,11.4166666667,0,0,0,0.4827,0
69,11.5833333333,0,179.277171399,179.277171399,0.4785,85.7841265145
70,11.75,0,520.124516667,520.124516667,0.4662,242.48204967
71,11.9166666667,0,486.4029,486.4029,0.4432,215.57376528
72,12.0833333333,0,480.41245,480.41245,0.4411,211.909931695
73,12.25,0,485.3,485.3,0.4551,220.86003
74,12.4166666667,0,488.606966667,488.606966667,0.4463,218.065289223
75,12.5833333333,0,498.270733333,498.270733333,0.4113,204.93875262
76,12.75,0,0,0,0.5682,0
77,12.9166666667,0,0,0,0.8279,0
78,13.0833333333,0,0,0,0.8636,0
79,13.25,0,0,0,0.8416,0
80,13.4166666667,0,0,0,0.8618,0
81,13.5833333333,0,0,0,0.8623,0
82,13.75,0,0,0,0.9026,0
83,13.9166666667,0,0,0,0.9754,0
84,14.0833333333,0,0,0,1.0002,0
85,14.25,0,0,0,0.9978,0
86,14.4166666667,0,0,0,1.0271,0
87,14.5833333333,23.7813666667,0,-23.7813666667,1.0906,-25.9359584867
88,14.75,67.3200166667,0,-67.3200166667,0.9376,-63.1192476267
89,14.9166666667,112.089866667,112.089866667,0,0.6694,0
90,15.0833333333,154.26185,266.732693621,112.470843621,0.66,74.2307567901
91,15.25,197.523516667,197.523516667,0,0.7217,0
92,15.4166666667,244.814033333,244.814033333,0,0.7308,0
93,15.5833333333,295.534616667,295.534616667,0,0.7534,0
94,15.75,345.7775,345.7775,0,0.7823,0
95,15.9166666667,394.931483333,394.931483333,0,0.8055,0
96,16.0833333333,445.43165,445.43165,0,0.8271,0
97,16.25,495.696583333,495.696583333,0,0.8519,0
98,16.4166666667,547.11905,547.11905,0,0.8791,0
99,16.5833333333,599.985433333,599.985433333,0,0.9024,0
100,16.75,635.42975,635.42975,0,0.9163,0
101,16.9166666667,660.830683333,660.830683333,0,0.9264,0
102,17.0833333333,702.036933333,702.036933333,0,0.9462,0
103,17.25,738.065783333,738.065783333,0,0.9742,0
104,17.4166666667,775.944716667,775.944716667,0,0.9862,0
105,17.5833333333,826.08325,826.08325,0,0.976,0
106,17.75,762.4228,762.4228,0,1.0742,0
107,17.9166666667,636.982616667,636.982616667,0,1.2313,0
108,18.0833333333,641.1613,531.89405,-109.26725,1.2561,-137.250592725
109,18.25,678.830533333,678.830533333,0,1.2447,0
110,18.4166666667,686.2685,686.2685,0,1.2545,0
111,18.5833333333,696.504383333,696.504383333,0,1.2522,0
112,18.75,704.634266667,0,-704.634266667,1.2881,-907.639398893
113,18.9166666667,706.484033333,0,-706.484033333,1.3466,-951.351399287
114,19.0833333333,707.406466667,0,-707.406466667,1.3523,-956.625764873
115,19.25,708.553,0,-708.553,1.3445,-952.6495085
116,19.4166666667,709.446883333,0,-709.446883333,1.3483,-956.547232798
117,19.5833333333,711.23245,0,-711.23245,1.349,-959.45257505
118,19.75,711.6625,0,-711.6625,1.3473,-958.82288625
119,19.9166666667,711.445033333,0,-711.445033333,1.3482,-959.17019394
120,20.0833333333,713.704083333,0,-713.704083333,1.3513,-964.428327808
121,20.25,715.28415,0,-715.28415,1.34,-958.480761
122,20.4166666667,715.22685,0,-715.22685,1.3489,-964.769497965
123,20.5833333333,715.653033333,0,-715.653033333,1.3952,-998.479112107
124,20.75,715.868916667,715.868916667,0,1.2226,0
125,20.9166666667,717.005116667,717.005116667,0,0.9332,0
126,21.0833333333,720.1603,720.1603,0,0.9068,0
127,21.25,717.054866667,717.054866667,0,0.9371,0
128,21.4166666667,720.445966667,720.445966667,0,0.9371,0
129,21.5833333333,738.134716667,738.134716667,0,0.9871,0
130,21.75,671.693566667,671.693566667,0,0.7764,0
131,21.9166666667,560.456983333,1393.79031667,833.333333333,0.4209,350.75
132,22.0833333333,551.565566667,1384.8989,833.333333333,0.3859,321.583333333
133,22.25,568.82605,568.82605,0,0.4368,0
134,22.4166666667,563.655216667,1396.98855,833.333333333,0.4198,349.833333333
135,22.5833333333,564.426533333,1397.75986667,833.333333333,0.4186,348.833333333
136,22.75,566.747433333,566.747433333,0,0.4241,0
137,22.9166666667,566.540433333,1399.87376667,833.333333333,0.4237,353.083333333
138,23.0833333333,567.83015,567.83015,0,0.4248,0
139,23.25,569.358633333,902.691966667,333.333333333,0.424,141.333333333
140,23.4166666667,570.330183333,1403.66351667,833.333333333,0.422,351.666666667
141,23.5833333333,571.615383333,571.615383333,0,0.424,0
142,23.75,573.176833333,573.176833333,0,0.4271,0
143,23.9166666667,574.120983333,574.120983333,0,0.4276,0
