slot,hour_center,price,load_kw,pv_kw,grid_kw,charge_kw,discharge_kw,energy_after_kwh
98,16.4166666667,0.8791,5665.8922,2383.1779,3282.7143,0,0,10800
99,16.5833333333,0.9024,5689.0372,2089.1246,3599.9126,0,-0,10800
100,16.75,0.9163,5603.6614,1791.0829,3812.5785,0,-0,10800
101,16.9166666667,0.9264,5466.7124,1501.7283,3964.9841,0,-0,10800
102,17.0833333333,0.9462,5467.3939,1255.1723,4212.2216,0,-0,10800
103,17.25,0.9742,5464.727,1036.3323,4428.3947,0,-0,10800
104,17.4166666667,0.9862,5492.4458,836.7775,4655.6683,0,-0,10800
105,17.5833333333,0.976,5621.7308,665.2313,4956.4995,0,0,10800
106,17.75,1.0742,5091.2126,516.6758,4574.5368,0,-0,10800
107,17.9166666667,1.2313,4208.5688,386.6731,3821.8957,0,-0,10800
108,18.0833333333,1.2561,4122.7611,275.7933,3191.3643,0,655.6035,10678.5919444
109,18.25,1.2447,4255.9358,182.9526,4072.9832,0,0,10678.5919444
110,18.4166666667,1.2545,4225.9524,108.3414,4117.611,0,0,10678.5919444
111,18.5833333333,1.2522,4233.3384,54.3121,4179.0263,0,0,10678.5919444
112,18.75,1.2881,4246.4625,18.6569,0,0,4227.8056,9895.66498148
113,18.9166666667,1.3466,4239.1795,0.2753,0,0,4238.9042,9110.68272222
114,19.0833333333,1.3523,4244.6684,0.2296,0,0,4244.4388,8324.67553704
115,19.25,1.3445,4251.9187,0.6007,0,0,4251.318,7537.39442593
116,19.4166666667,1.3483,4256.6813,0,0,0,4256.6813,6749.12011111
117,19.5833333333,1.349,4267.3947,0,0,0,4267.3947,5958.86183333
118,19.75,1.3473,4269.975,0,0,0,4269.975,5168.12572222
119,19.9166666667,1.3482,4268.6702,0,0,0,4268.6702,4377.63124074
120,20.0833333333,1.3513,4282.2245,0,0,0,4282.2245,3584.6267037
121,20.25,1.34,4291.7049,0,0,0,4291.7049,2789.86653704
122,20.4166666667,1.3489,4291.3611,0,0,0,4291.3611,1995.17003704
123,20.5833333333,1.3952,4293.9182,0,0,0,4293.9182,1200
124,20.75,1.2226,4295.2135,0,4295.2135,0,-0,1200
125,20.9166666667,0.9332,4302.0307,0,4302.0307,0,0,1200
126,21.0833333333,0.9068,4320.9618,0,4320.9618,0,0,1200
127,21.25,0.9371,4302.3292,0,4302.3292,0,0,1200
128,21.4166666667,0.9371,4322.6758,0,4322.6758,0,0,1200
129,21.5833333333,0.9871,4428.8083,0,4428.8083,0,-0,1200
130,21.75,0.7764,4030.1614,0,4030.1614,0,-0,1200
131,21.9166666667,0.4209,3362.7419,0,8362.7419,5000,0,1950
132,22.0833333333,0.3859,3309.3934,0,8309.3934,5000,0,2700
133,22.25,0.4368,3412.9563,0,3412.9563,0,0,2700
134,22.4166666667,0.4198,3381.9313,0,8381.9313,5000,0,3450
135,22.5833333333,0.4186,3386.5592,0,8386.5592,5000,0,4200
136,22.75,0.4241,3400.4846,0,3400.4846,0,0,4200
137,22.9166666667,0.4237,3399.2426,0,8399.2426,5000,0,4950
138,23.0833333333,0.4248,3406.9809,0,3406.9809,0,0,4950
139,23.25,0.424,3416.1518,0,5416.1518,2000,0,5250
140,23.4166666667,0.422,3421.9811,0,8421.9811,5000,0,6000
141,23.5833333333,0.424,3429.6923,0,3429.6923,0,0,6000
142,23.75,0.4271,3439.061,0,3439.061,0,0,6000
143,23.9166666667,0.4276,3444.7259,0,3444.7259,0,0,6000
