日期,计划购电量kWh,紧急购电量kWh,计划购电费元,紧急购电费元,合计购电费元,紧急时段数,0:00储电量kWh,24:00储电量kWh,充电量kWh,放电量kWh,计划净供给kWh,弃置电量kWh
2025-02-19,80647.4572,1066.3675,49837.86,4015.12,53852.99,42,8550.0000,8550.0000,23174.2190,18771.1174,76244.3556,4431.3957
2025-02-20,78801.6973,503.7088,49082.16,2050.27,51132.43,26,8550.0000,6848.0410,21281.0957,18769.4507,76290.0523,5800.6273
2025-02-21,36062.7030,366.0075,18809.93,1337.28,20147.21,24,6848.0410,6551.6561,17980.9344,14831.3032,32913.0718,7718.8173
2025-02-22,37777.0521,652.0871,19425.22,2554.69,21979.91,39,6551.6561,8550.0000,20146.1866,14519.9017,32150.7672,4958.0914
2025-02-23,79001.5014,1080.8395,48681.44,3582.91,52264.36,40,8550.0000,8550.0000,23227.0413,18813.9035,74588.3635,4137.3494
2025-02-24,78699.9900,360.6062,48370.19,1590.50,49960.69,25,8550.0000,8550.0000,23288.5618,18863.7351,74275.1633,6432.7359
2025-02-25,78336.4371,400.4602,48159.67,1631.51,49791.18,22,8550.0000,8550.0000,23285.5634,18861.3064,73912.1801,8491.3171
2025-02-26,77480.0532,694.6265,47593.44,2774.76,50368.20,29,8550.0000,8550.0000,23069.5852,18686.3640,73096.8320,4976.6105
2025-02-27,74686.8867,484.5071,46333.47,2326.45,48659.93,26,8550.0000,6408.3587,20722.6468,18712.8211,72677.0610,6204.9839
2025-02-28,34828.3015,304.4957,18143.42,1004.20,19147.62,26,6408.3587,6104.9372,17450.4416,14407.9370,31785.7970,8797.6992
2025-03-01,37190.9834,396.1775,19073.39,1659.69,20733.08,24,6104.9372,8550.0000,20111.7768,14089.9826,31169.1893,7906.6009
2025-03-02,74860.3275,4567.8662,45833.58,17091.82,62925.40,54,8550.0000,8550.0000,23058.2886,18677.2138,70479.2527,2688.8118
2025-03-03,75662.6814,3102.1068,46338.84,12950.20,59289.05,66,8550.0000,8550.0000,23322.3586,18891.1105,71231.4333,2316.3935
2025-03-04,76269.1548,852.3738,46866.92,2841.44,49708.37,38,8550.0000,8550.0000,23225.1849,18812.3998,71856.3697,3509.2856
2025-03-05,77228.6674,180.0918,47423.51,737.11,48160.62,16,8550.0000,8550.0000,23290.7908,18865.5405,72803.4172,6853.0370
2025-03-06,73004.3588,268.1325,45509.81,1016.43,46526.24,22,8550.0000,5387.5164,19725.5455,18823.9271,72102.7404,6430.2188
2025-03-07,32886.6392,166.9711,17277.21,479.61,17756.82,14,5387.5164,4960.8126,16122.5660,13443.3119,30207.3851,9452.0706
2025-03-08,36692.9517,311.8881,18873.45,1011.50,19884.95,20,4960.8126,8550.0000,20076.2154,13031.4658,29648.2021,10896.9507
2025-03-09,75297.3347,249.7569,45973.82,990.48,46964.29,18,8550.0000,8550.0000,23252.7843,18834.7553,70879.3057,7795.5376
2025-03-10,73646.9129,1966.5753,44892.01,6188.97,51080.99,52,8550.0000,8550.0000,22726.6997,18408.6268,69328.8400,3253.3438
2025-03-11,73928.1932,490.6171,44958.17,1896.27,46854.44,28,8550.0000,8550.0000,22670.3088,18362.9502,69620.8345,6172.5328
2025-03-12,73562.9563,435.4715,44721.70,1426.50,46148.21,25,8550.0000,8550.0000,22545.1552,18261.5757,69279.3768,7279.3136
2025-03-13,68670.5854,2528.5161,42472.81,9577.59,52050.40,55,8550.0000,4774.5880,18214.8986,18151.9387,68607.6255,3590.5236
2025-03-14,31769.8935,219.3380,16573.71,739.12,17312.83,21,4774.5880,4431.1910,15494.2631,12859.4104,29135.0409,13324.9529
2025-03-15,36278.0427,581.3785,18509.23,2101.78,20611.01,32,4431.1910,8550.0000,20004.6180,12496.8124,28770.2371,8427.4905
2025-03-16,72514.3608,758.6887,43963.13,2851.97,46815.10,33,8550.0000,8550.0000,22336.8277,18092.8304,68270.3635,5678.0053
2025-03-17,72656.1231,189.3341,43953.94,739.03,44692.97,11,8550.0000,8550.0000,22334.2110,18090.7109,68412.6230,10743.8257
2025-03-18,71394.2707,801.4646,43104.44,3998.73,47103.17,25,8550.0000,8550.0000,22152.4612,17943.4936,67185.3030,6860.8093
2025-03-19,71006.0368,363.0819,42879.78,1671.81,44551.59,19,8550.0000,8550.0000,22049.4554,17860.0589,66816.6403,7714.2518
2025-03-20,65615.9356,689.8027,40493.15,2775.85,43269.00,34,8550.0000,4348.2553,17364.5840,17846.8833,66098.2348,4579.0757
2025-03-21,30509.6558,276.6092,15745.70,965.56,16711.26,25,4348.2553,4031.9537,15012.9464,12445.1580,27941.8674,16185.0120
2025-03-22,35725.1783,286.3222,18043.66,813.93,18857.59,20,4031.9537,8550.0000,20001.9887,12135.3692,27858.5589,12263.6814
2025-03-23,67825.0937,863.9123,40870.36,3183.12,44053.48,41,8550.0000,8550.0000,21850.6023,17698.9879,63673.4793,5767.6715
2025-03-24,67325.9409,658.4280,40558.56,2268.53,42827.09,27,8550.0000,8550.0000,21652.8404,17538.8007,63211.9012,5871.8321
2025-03-25,67666.8474,1243.3755,40713.73,4731.79,45445.52,43,8550.0000,8550.0000,21699.3478,17576.4717,63543.9713,3837.2221
2025-03-26,68211.9715,193.4729,41057.25,559.07,41616.31,16,8550.0000,8550.0000,21714.2166,17588.5154,64086.2704,8687.1884
2025-03-27,62421.0395,669.5136,38517.96,2368.23,40886.19,34,8550.0000,4022.7851,16626.5964,17542.0365,63336.4796,5289.0038
2025-03-28,29981.6491,365.4564,15349.28,1405.66,16754.94,18,4022.7851,3726.9638,14642.5582,12126.7113,27465.8022,17009.3777
2025-03-29,35446.7581,248.5520,17651.55,994.81,18646.36,23,3726.9638,8550.0000,20063.5964,11910.7805,27293.9423,19835.2851
2025-03-30,65120.0002,554.4424,39088.64,2181.22,41269.86,23,8550.0000,8550.0000,21416.9076,17347.6952,61050.7878,6259.6104
2025-03-31,64380.6524,1797.3334,38571.57,7138.90,45710.47,43,8550.0000,8550.0000,21437.0500,17364.0105,60307.6130,5153.5569
2025-04-01,64308.1161,3235.2760,38371.01,9483.43,47854.45,55,8550.0000,8550.0000,21488.7872,17405.9177,60225.2466,3251.6711
2025-04-02,64676.0266,3193.6695,38538.24,12613.93,51152.16,55,8550.0000,8550.0000,21509.8898,17423.0107,60589.1476,3347.4817
2025-04-03,60258.3107,515.1452,36912.21,2248.54,39160.75,29,8550.0000,3486.6822,15977.6947,17498.9187,61779.5347,6431.1497
2025-04-04,29616.2417,162.3254,15036.11,663.91,15700.02,17,3486.6822,3449.2053,14452.5125,11740.2643,26903.9935,20635.5167
2025-04-05,35564.2276,326.6893,17571.22,1165.27,18736.49,23,3449.2053,8550.0000,20086.2860,11679.1764,27157.1181,15439.6924
2025-04-06,65746.7202,203.6913,39060.66,758.45,39819.11,13,8550.0000,8550.0000,21614.7806,17507.9723,61639.9119,7433.5270
2025-04-07,65415.6264,205.7981,38788.80,650.27,39439.07,19,8550.0000,8550.0000,21539.5480,17447.0339,61323.1123,8286.1911
2025-04-08,64818.6357,709.4961,38375.81,3121.24,41497.05,35,8550.0000,8550.0000,21527.5570,17437.3212,60728.3999,7084.7024
2025-04-09,64145.6326,2089.1867,38118.64,7342.20,45460.85,52,8550.0000,8550.0000,21461.6183,17383.9108,60067.9251,3022.8008
2025-04-10,58851.0833,642.1236,35998.32,2838.77,38837.10,30,8550.0000,3319.4029,15800.2911,17505.7731,60556.5654,6738.0511
2025-04-11,29003.7744,264.6836,14588.21,1107.74,15695.94,24,3319.4029,3251.4599,14253.2803,11606.3058,26356.7998,21304.8332
2025-04-12,35330.9842,167.8243,17327.22,684.44,18011.66,10,3251.4599,8550.0000,20095.2560,11508.4713,26744.1994,17886.8632
2025-04-13,63684.3617,371.0877,37730.05,1575.40,39305.44,21,8550.0000,8550.0000,21533.0624,17441.7806,59593.0798,5687.8090
2025-04-14,63240.7340,431.3374,37387.64,1481.94,38869.59,25,8550.0000,8550.0000,21463.2784,17385.2555,59162.7111,7066.0167
2025-04-15,63691.6473,260.0016,37713.49,1148.38,38861.87,17,8550.0000,8550.0000,21444.0362,17369.6693,59617.2804,9737.8532
2025-04-16,62975.6171,720.8701,37270.37,2180.66,39451.03,35,8550.0000,8550.0000,20917.3505,16943.0539,59001.3205,3942.5987
2025-04-17,56649.1899,240.5923,34592.51,1026.06,35618.56,17,8550.0000,2958.0239,14563.9293,16829.5612,58914.8218,6287.0717
2025-04-18,28102.8897,150.5216,14041.40,414.41,14455.81,14,2958.0239,2843.5921,13768.8608,11255.7659,25589.7947,19386.1992
2025-04-19,34461.2901,227.7703,16680.54,628.24,17308.78,13,2843.5921,8550.0000,20036.8769,11094.1031,25518.5164,18961.6075
2025-04-20,62340.9920,416.1067,36720.66,1804.70,38525.35,21,8550.0000,8550.0000,20889.5401,16920.5275,58371.9794,6830.3412
2025-04-21,61919.0801,355.7660,36323.80,1256.33,37580.14,23,8550.0000,8550.0000,20899.9591,16928.9668,57948.0879,9786.9435
2025-04-22,61655.1617,561.8698,36400.66,1734.93,38135.59,31,8550.0000,8550.0000,20697.9028,16765.3012,57722.5602,6131.5007
2025-04-23,62086.9870,175.7758,36461.83,651.29,37113.12,20,8550.0000,8550.0000,20697.5067,16764.9804,58154.4607,6930.3198
2025-04-24,54955.6589,189.8365,33384.72,1042.32,34427.04,14,8550.0000,2544.4464,13998.3978,16743.7004,57700.9616,10800.6914
2025-04-25,27147.1456,147.4040,13307.89,644.76,13952.65,11,2544.4464,2435.4316,13240.4188,10822.8526,24729.5794,22876.6257
2025-04-26,33392.0462,240.2507,16005.45,985.46,16990.91,22,2435.4316,7950.0000,19298.4338,10668.6198,24762.2322,24932.2893
2025-04-27,58184.3835,1132.6236,34250.47,4767.72,39018.19,37,7950.0000,7950.0000,19492.5377,15788.9556,54480.8013,7039.9537
2025-04-28,57569.7299,4776.7611,34050.62,17318.48,51369.10,66,7950.0000,7695.4230,19337.0987,15892.1693,54124.8004,2279.5943
2025-04-29,59748.0681,662.7633,35292.42,2673.11,37965.54,20,7695.4230,7950.0000,19853.1915,15851.9658,55746.8424,8976.3919
2025-04-30,58844.0808,826.2920,34867.70,2552.55,37420.24,31,7950.0000,7950.0000,19193.5353,15546.7636,55197.3091,7766.7467
2025-05-01,51762.4512,2775.2048,31843.58,12954.21,44797.79,68,7950.0000,2167.8292,12790.7112,15564.4297,54536.1697,6299.9957
2025-05-02,27183.4852,2512.3558,13616.52,11222.16,24838.68,70,2167.8292,2110.5389,12926.9557,10522.3954,24778.9249,13000.9606
2025-05-03,34636.7480,1114.9090,17078.81,5577.09,22655.89,36,2110.5389,7950.0000,19550.4403,10580.3417,25666.6494,17914.3868
2025-05-04,63464.8072,921.8705,37926.63,3729.58,41656.22,41,7950.0000,8326.3555,20422.0396,16203.1321,59245.8997,8433.1029
2025-05-05,64016.8274,1304.8760,38474.69,5662.72,44137.41,44,8326.3555,8148.6140,19272.8434,15770.9705,60514.9545,6743.8237
2025-05-06,63913.1332,1028.8203,38802.16,4100.96,42903.12,38,8148.6140,7950.0458,19436.4359,15922.2244,60398.9218,8557.6598
2025-05-07,65651.1419,654.3477,39419.55,3048.87,42468.42,29,7950.0458,8550.0000,20835.7090,16336.9655,61152.3984,6738.9001
2025-05-08,59109.0405,871.3074,37350.61,3209.49,40560.10,24,8550.0000,2368.5633,13965.2006,16875.1055,62018.9455,7063.7404
2025-05-09,30417.7804,137.1352,16382.17,471.17,16853.34,11,2368.5633,2214.4339,13063.2222,10719.9264,28074.4846,19712.2339
2025-05-10,37195.2379,228.1745,19106.26,813.64,19919.90,22,2214.4339,8550.0000,20207.9046,10666.3933,27653.7265,15760.8557
2025-05-11,65807.7353,576.5754,39601.14,2192.87,41794.02,31,8550.0000,8550.0000,21219.1647,17187.5234,61776.0940,6868.5903
2025-05-12,66647.6484,1003.7501,40129.25,2934.04,43063.29,22,8550.0000,8550.0000,21393.7110,17328.9059,62582.8433,11655.3982
2025-05-13,65723.2453,238.1115,39538.92,886.48,40425.39,12,8550.0000,8550.0000,20697.2191,16764.7474,61790.7737,8899.6724
2025-05-14,66281.1033,301.3703,39793.15,889.27,40682.42,19,8550.0000,8550.0000,20650.1917,16726.6553,62357.5669,9644.7884
2025-05-15,58988.9158,450.7130,37048.62,1672.48,38721.11,22,8550.0000,2041.4934,13265.8841,16603.0220,62326.0537,10011.7084
2025-05-16,29376.2290,297.1462,15666.55,964.90,16631.45,14,2041.4934,2092.9319,12977.6151,10465.5736,26864.1875,24445.8272
2025-05-17,36225.5082,649.5774,18390.21,2795.73,21185.94,27,2092.9319,8550.0000,20024.4171,10408.4166,26609.5077,16810.2860
2025-05-18,63991.8216,854.4417,38493.22,2628.29,41121.51,31,8550.0000,8550.0000,19104.9428,15475.0036,60361.8825,7540.1561
2025-05-19,63923.6197,242.3521,38238.16,1402.50,39640.67,13,8550.0000,8365.5924,18935.9978,15504.1250,60491.7469,13218.8825
2025-05-20,62931.9184,696.3187,37649.01,3048.14,40697.16,30,8365.5924,8146.5484,19035.8171,15616.1515,59512.2528,5681.1766
2025-05-21,63724.8253,764.3156,38188.03,2844.39,41032.42,25,8146.5484,8167.1792,19222.0965,15551.3304,60054.0592,9455.7595
2025-05-22,56452.8016,145.2027,35587.44,551.63,36139.07,13,8167.1792,1727.1060,11903.1614,15437.6266,59987.2668,9315.8387
2025-05-23,28568.7564,186.7318,15187.52,512.02,15699.54,14,1727.1060,1756.6535,12480.7842,10082.8424,26170.8147,19936.5976
2025-05-24,35594.5950,203.6601,18190.63,668.58,18859.21,22,1756.6535,7950.0000,19377.6610,10121.8936,26338.8275,22787.9862
2025-05-25,63030.2393,195.7386,37986.30,907.51,38893.81,15,7950.0000,7950.0000,19213.6228,15563.0345,59379.6510,11030.3794
2025-05-26,61962.5001,1630.4388,37308.40,5611.74,42920.15,37,7950.0000,7950.0000,18984.8468,15377.7259,58355.3792,5405.9851
2025-05-27,62865.9332,271.6763,37774.30,732.39,38506.68,19,7950.0000,7950.0000,19222.5099,15570.2330,59213.6563,10094.9653
2025-05-28,62225.3937,1148.1940,37450.09,3343.02,40793.11,37,7950.0000,7950.0000,19067.1096,15444.3588,58602.6429,7477.0128
2025-05-29,55303.7248,1099.4905,34724.08,4358.54,39082.62,40,7950.0000,1687.3946,12294.4890,15594.8810,58604.1168,5593.4837
2025-05-30,28575.3717,488.0069,15125.09,1771.66,16896.75,19,1687.3946,1746.8325,12679.3129,10216.7493,26112.8081,20004.5818
2025-05-31,35667.8672,489.0562,18147.05,1379.76,19526.80,22,1746.8325,7950.0000,19528.2272,10235.0133,26374.6533,18474.5280
2025-06-01,64555.5340,12031.4492,38638.36,45880.37,84518.73,118,7950.0000,8550.0000,20690.5121,16219.3148,60084.3367,890.9596
2025-06-02,67747.8005,8059.2684,40732.25,32980.78,73713.03,109,8550.0000,8550.0000,20924.3797,16948.7476,63772.1684,3190.6293
2025-06-03,70971.1317,3250.8614,43088.85,13868.28,56957.13,89,8550.0000,8550.0000,21630.2398,17520.4942,66861.3862,1919.8808
2025-06-04,74277.4144,3137.1548,45445.94,10876.14,56322.08,73,8550.0000,8550.0000,21815.0353,17670.1786,70132.5577,3624.4517
2025-06-05,69793.2050,1668.1679,44467.60,6025.89,50493.49,60,8550.0000,2092.5820,15193.6711,18118.5498,72718.0837,3236.9336
2025-06-06,36558.6882,1613.9777,20984.34,6551.68,27536.02,40,2092.5820,2225.0814,13466.9795,10789.0040,33880.7126,4639.6949
2025-06-07,45060.5868,935.3265,24880.77,3625.24,28506.00,33,2225.0814,8550.0000,20586.9705,10983.0194,35456.6356,5265.4490
2025-06-08,88221.5862,8.6872,55590.55,40.21,55630.76,2,8550.0000,8550.0000,24290.0560,19674.9454,83606.4755,18430.2394
2025-06-09,86114.5212,248.7515,54176.75,710.25,54887.00,13,8550.0000,8550.0000,23444.1821,18989.7875,81660.1266,10976.1654
2025-06-10,86446.0262,217.9614,54503.10,566.50,55069.60,11,8550.0000,8550.0000,23800.2339,19278.1895,81923.9817,10523.4989
2025-06-11,86574.8558,935.2985,54341.32,4255.32,58596.64,24,8550.0000,8550.0000,23645.8286,19153.1212,82082.1484,6933.0006
2025-06-12,80763.8430,204.7999,52226.78,643.38,52870.16,14,8550.0000,2784.7896,18078.8091,19832.5248,82517.5586,10269.9671
2025-06-13,41308.5622,200.2049,23591.11,947.16,24538.27,15,2784.7896,2659.1630,13997.0734,11450.6934,38762.1822,10617.0734
2025-06-14,48206.1723,141.6275,26550.35,298.48,26848.83,11,2659.1630,8550.0000,20766.7105,11519.2822,38958.7440,12907.0287
2025-06-15,88404.9240,1.9558,55846.49,6.97,55853.46,2,8550.0000,8550.0000,24397.2574,19761.7785,83769.4451,13144.4266
2025-06-16,88339.1292,191.1490,55920.14,549.22,56469.35,15,8550.0000,8550.0000,24408.7254,19771.0676,83701.4714,11198.5675
2025-06-17,88501.1597,752.4402,55978.60,2855.79,58834.38,21,8550.0000,8550.0000,24630.5871,19950.7755,83821.3482,9936.7772
2025-06-18,88745.7378,54.9257,56005.59,156.76,56162.34,7,8550.0000,8550.0000,24679.7992,19990.6374,84056.5760,13183.1108
2025-06-19,80941.2419,251.9182,52398.54,835.34,53233.88,15,8550.0000,2666.5279,18024.6705,19895.1080,82811.6794,14804.0934
2025-06-20,40705.8929,221.9016,23103.09,499.18,23602.27,12,2666.5279,2670.8037,14093.5841,11411.9549,38024.2637,15845.5844
2025-06-21,46473.4101,338.7134,25454.37,1155.49,26609.86,14,2670.8037,8550.0000,20427.8958,11255.3189,37300.8332,18304.8062
2025-06-22,86321.9374,91.4348,54345.40,197.10,54542.50,5,8550.0000,8550.0000,24258.9347,19649.7371,81712.7399,14346.8336
2025-06-23,84987.7480,88.7028,53303.77,193.59,53497.36,8,8550.0000,8550.0000,23647.6572,19154.6023,80494.6931,13522.1100
2025-06-24,83206.5981,2250.2874,52029.25,9444.95,61474.19,39,8550.0000,8550.0000,23498.7411,19033.9803,78741.8373,4723.3324
2025-06-25,83861.4329,693.6121,52286.52,2187.06,54473.58,14,8550.0000,8550.0000,23871.6486,19336.0354,79325.8197,9582.0104
2025-06-26,76523.9922,116.5062,49337.85,557.80,49895.65,12,8550.0000,2238.4628,17269.6272,19668.7815,78923.1464,11492.2687
2025-06-27,37022.5244,217.6756,20899.74,642.24,21541.98,17,2238.4628,2351.3150,13514.0982,10844.8527,34353.2788,14799.3086
2025-06-28,43220.4770,301.0097,23392.64,997.76,24390.40,19,2351.3150,8550.0000,20390.1971,10937.2432,33767.5230,12291.6065
2025-06-29,83748.3876,365.6102,52463.79,1011.86,53475.66,18,8550.0000,8550.0000,24177.9159,19584.1119,79154.5835,10252.4252
2025-06-30,83017.5642,659.2510,51947.34,2487.61,54434.96,19,8550.0000,8550.0000,23850.7559,19319.1122,78485.9206,9267.4876
2025-07-01,82512.3731,5828.8544,51393.23,20183.02,71576.24,85,8550.0000,8550.0000,23452.6114,18996.6152,78056.3770,5018.6873
2025-07-02,83143.0298,4499.5958,51736.91,15926.39,67663.30,80,8550.0000,8550.0000,23085.3445,18699.1290,78756.8144,10351.6438
2025-07-03,77186.8631,3880.9378,49691.15,14190.85,63882.00,87,8550.0000,2581.5580,16022.2022,18349.5816,79514.2425,3634.7614
2025-07-04,41081.1406,1812.2274,24050.94,6280.29,30331.23,57,2581.5580,2748.8205,14101.3817,11271.5829,38251.3418,11182.7017
2025-07-05,49917.2319,932.9735,28240.32,3458.08,31698.40,36,2748.8205,8550.0000,20612.1604,11474.7884,40779.8599,12922.7534
2025-07-06,88778.0548,1454.8289,56020.15,6238.15,62258.30,39,8550.0000,8550.0000,22418.9409,18159.3422,84518.4560,6179.3033
2025-07-07,88539.0592,294.1790,56009.71,690.42,56700.13,20,8550.0000,8550.0000,22639.5678,18338.0499,84237.5413,11122.2375
2025-07-08,90466.3205,253.5360,57327.83,1025.83,58353.67,15,8550.0000,8550.0000,22484.3654,18212.3360,86194.2910,10876.4400
2025-07-09,89131.7371,257.7291,56520.35,943.13,57463.47,11,8550.0000,8550.0000,22557.0190,18271.1854,84845.9035,11044.9075
2025-07-10,82143.9846,234.0079,53549.47,704.08,54253.55,10,8550.0000,2766.6969,16428.8858,18512.3703,84227.4691,11607.8536
2025-07-11,45417.5093,300.2474,27248.10,970.94,28219.04,19,2766.6969,2787.5893,13904.1584,11243.5651,42756.9160,10538.3862
2025-07-12,51840.9439,172.0629,29700.44,601.62,30302.07,10,2787.5893,8550.0000,20421.9371,11355.5994,42774.6062,11862.4258
2025-07-13,86090.7444,170.1623,54283.99,853.32,55137.30,13,8550.0000,8550.0000,22204.0043,17985.2435,81871.9835,12774.4254
2025-07-14,84451.6416,200.6164,53204.09,914.28,54118.37,16,8550.0000,8550.0000,22135.6558,17929.8812,80245.8670,8638.8042
2025-07-15,88186.9288,1264.4703,56011.62,3374.10,59385.73,18,8550.0000,8550.0000,22326.2328,18084.2486,83944.9446,12460.3643
2025-07-16,86472.1083,677.0249,54650.45,2277.88,56928.33,18,8550.0000,8550.0000,22034.2256,17847.7227,82285.6054,10828.0669
2025-07-17,79389.6845,739.8069,51640.51,3118.22,54758.73,23,8550.0000,2773.0405,15645.8298,17872.3856,81616.2404,9635.6312
2025-07-18,44698.7697,122.3318,26777.08,488.46,27265.54,12,2773.0405,2709.6479,13813.8262,11246.2526,42131.1961,10979.2798
2025-07-19,50980.6031,238.1954,29157.32,761.99,29919.31,16,2709.6479,8550.0000,20302.7785,11188.9337,41866.7583,14922.1346
2025-07-20,83508.6894,563.5298,52483.44,1930.50,54413.95,16,8550.0000,8550.0000,22135.1413,17929.4644,79303.0126,7776.5642
2025-07-21,84322.4001,786.5579,52961.64,2670.84,55632.48,24,8550.0000,8550.0000,21918.0661,17753.6335,80157.9675,6954.7761
2025-07-22,88263.5535,598.3263,55756.60,2508.01,58264.61,12,8550.0000,8550.0000,22138.2296,17931.9660,84057.2899,10860.4716
2025-07-23,87244.7556,416.5039,55062.02,1535.35,56597.37,13,8550.0000,8550.0000,22149.7273,17941.2791,83036.3074,9236.2642
2025-07-24,80434.1035,888.8956,52292.42,3639.81,55932.23,19,8550.0000,2790.2030,16087.0412,18214.3207,82561.3830,9833.8066
2025-07-25,44361.8779,179.4814,26474.68,746.94,27221.62,11,2790.2030,2685.0532,13787.8090,11262.7601,41836.8291,15510.9909
2025-07-26,50711.0514,243.2116,29027.27,713.24,29740.51,11,2685.0532,8550.0000,20246.2459,11121.0070,41585.8125,13359.9326
2025-07-27,84405.9796,1099.4504,53019.28,4577.03,57596.31,29,8550.0000,8550.0000,22229.6453,18006.0127,80182.3470,7596.6076
2025-07-28,84257.9610,2274.7007,52891.59,8465.29,61356.88,45,8550.0000,8550.0000,22417.3106,18158.0216,79998.6719,4318.4954
2025-07-29,88188.3085,1023.9578,55694.13,3593.14,59287.27,20,8550.0000,8550.0000,22517.6802,18239.3209,83909.9493,8864.6611
2025-07-30,87891.7206,310.3807,55420.91,1335.71,56756.61,19,8550.0000,8550.0000,22396.9347,18141.5171,83636.3030,9843.4297
2025-07-31,80935.0425,273.9407,52373.26,1130.68,53503.94,12,8550.0000,2888.4797,16054.7864,18099.7453,82980.0013,8558.9457
2025-08-01,43536.0222,221.1843,25845.26,670.96,26516.22,16,2888.4797,2734.6455,13893.8734,11392.4883,41034.6372,20004.4618
2025-08-02,49628.6017,112.0326,28374.61,465.48,28840.08,7,2734.6455,8550.0000,20151.9502,11089.2606,40565.9121,19750.9198
2025-08-03,82130.4401,773.3309,51594.57,2830.17,54424.75,30,8550.0000,8550.0000,22075.7622,17881.3674,77936.0452,15869.8961
2025-08-04,80962.5928,251.5386,50748.19,661.56,51409.75,18,8550.0000,8550.0000,21878.9341,17721.9366,76805.5953,11641.4788
2025-08-05,79141.4613,337.5813,49670.27,1113.66,50783.93,16,8550.0000,8550.0000,21567.0152,17469.2823,75043.7284,10229.0000
2025-08-06,77819.8280,1894.0498,48853.57,7279.07,56132.64,41,8550.0000,8550.0000,21070.6399,17067.2183,73816.4064,7596.0569
2025-08-07,69777.9896,517.2905,45309.00,1597.72,46906.72,26,8550.0000,2492.2842,13858.0407,16676.9572,72596.9060,9726.2113
2025-08-08,41131.6289,179.3087,24028.84,802.94,24831.77,15,2492.2842,2436.7946,13409.4523,10911.5970,38633.7736,23037.9110
2025-08-09,47211.9489,536.6605,26618.18,2235.87,28854.06,20,2436.7946,7950.0000,19587.1147,10903.6780,38528.5122,20143.2437
2025-08-10,73315.0655,1579.6120,46375.49,5383.60,51759.09,36,7950.0000,7950.0000,19948.8078,16158.5343,69524.7921,5799.7851
2025-08-11,74826.2329,855.9099,47187.27,3816.73,51004.00,30,7950.0000,7950.0000,20016.2915,16213.1961,71023.1375,7317.7940
2025-08-12,74742.8236,1896.4881,47077.58,7773.12,54850.70,44,7950.0000,7950.0000,20321.3671,16460.3073,70881.7639,5017.7083
2025-08-13,75619.4745,1166.2047,47740.78,4763.20,52503.97,32,7950.0000,7950.0000,20350.4080,16483.8304,71752.8970,6798.1222
