period,interval,start_minute,end_minute,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh,grid_kwh,charge_kwh,discharge_kwh,curtailment_kwh,energy_start_kwh,energy_end_kwh,soc_end,cost_yuan,no_storage_grid_kwh,no_storage_cost_yuan,mode
27,4:20-4:30,260,270,0.4364,3560.0272,0.0,593.3378666666666,0.0,593.3378666666666,0.0,0.0,0.0,10050.0,10050.0,0.8375,258.93264501333334,593.3378666666666,258.93264501333334,待机
28,4:30-4:40,270,280,0.4393,3580.654,0.5994,596.7756666666667,0.0999,596.6757666666666,0.0,0.0,0.0,10050.0,10050.0,0.8375,262.11966429666666,596.6757666666666,262.11966429666666,待机
29,4:40-4:50,280,290,0.4422,3586.916,0.2345,597.8193333333334,0.03908333333333333,597.78025,0.0,0.0,0.0,10050.0,10050.0,0.8375,264.33842655,597.78025,264.33842655,待机
30,4:50-5:00,290,300,0.4395,3571.2635,0.2885,595.2105833333333,0.048083333333333325,595.1624999999999,0.0,0.0,0.0,10050.0,10050.0,0.8375,261.57391874999996,595.1624999999999,261.57391874999996,待机
31,5:00-5:10,300,310,0.4333,3562.3171,18.6781,593.7195166666667,3.1130166666666668,590.6065,0.0,0.0,0.0,10050.0,10050.0,0.8375,255.90979645000002,590.6065,255.90979645000002,待机
32,5:10-5:20,310,320,0.4439,3591.3809,54.4698,598.5634833333334,9.078299999999999,589.4851833333333,0.0,0.0,0.0,10050.0,10050.0,0.8375,261.6724728816667,589.4851833333333,261.6724728816667,待机
33,5:20-5:30,320,330,0.4301,3579.7045,108.9718,596.6174166666666,18.161966666666665,578.4554499999999,0.0,0.0,0.0,10050.0,10050.0,0.8375,248.79368904499995,578.4554499999999,248.79368904499995,待机
34,5:30-5:40,330,340,0.3713,3486.119,184.1603,581.0198333333333,30.693383333333333,1383.659783333333,833.3333333333333,0.0,0.0,10050.0,10800.0,0.9,513.7528775516666,550.3264499999999,204.33621088499999,充电
35,5:40-5:50,340,350,0.5708,3823.8994,277.0582,637.3165666666666,46.17636666666667,591.1401999999999,0.0,0.0,0.0,10800.0,10800.0,0.9,337.42282615999994,591.1401999999999,337.42282615999994,待机
36,5:50-6:00,350,360,0.9099,4398.0727,388.5494,733.0121166666665,64.75823333333332,0.0,0.0,668.2538833333332,0.0,10800.0,10057.495685185186,0.8381246404320988,0.0,668.2538833333332,608.0442084449999,放电
37,6:00-6:10,360,370,0.9368,4454.0123,521.2803,742.3353833333333,86.88005,0.0,0.0,655.4553333333333,0.0,10057.495685185186,9329.211981481481,0.7774343317901234,0.0,655.4553333333333,614.0305562666666,放电
38,6:10-6:20,370,380,0.8758,4371.7919,672.7677,728.6319833333333,112.12795,0.0,0.0,616.5040333333334,0.0,9329.211981481481,8644.2075,0.720350625,0.0,616.5040333333334,539.9342323933334,放电
39,6:20-6:30,380,390,0.8759,4392.953,844.2261,732.1588333333334,140.70434999999998,0.0,0.0,591.4544833333334,0.0,8644.2075,7987.035851851852,0.6655863209876544,0.0,591.4544833333334,518.0549819516667,放电
40,6:30-6:40,390,400,0.8601,4384.5956,1039.6744,730.7659333333332,173.27906666666667,0.0,0.0,557.4868666666666,0.0,7987.035851851852,7367.606000000001,0.6139671666666667,0.0,557.4868666666666,479.49445402,放电
41,6:40-6:50,400,410,0.8442,4434.7757,1259.3375,739.1292833333333,209.88958333333335,0.0,0.0,529.2397,0.0,7367.606000000001,6779.561888888889,0.5649634907407408,0.0,529.2397,446.78415473999996,放电
42,6:50-7:00,410,420,0.8334,4523.4561,1508.6318,753.90935,251.43863333333334,0.0,0.0,502.4707166666667,0.0,6779.561888888889,6221.261092592593,0.518438424382716,0.0,502.4707166666667,418.75909527000005,放电
43,7:00-7:10,420,430,0.8092,4524.0721,1791.4107,754.0120166666667,298.56845,0.0,0.0,455.4435666666667,0.0,6221.261092592593,5715.212685185185,0.47626772376543214,0.0,455.4435666666667,368.5449341466667,放电
44,7:10-7:20,430,440,0.7972,4545.8867,2085.4865,757.6477833333333,347.5810833333333,0.0,0.0,410.0667,0.0,5715.212685185185,5259.583018518519,0.4382985848765432,0.0,410.0667,326.90517324,放电
45,7:20-7:30,440,450,0.7644,4523.2418,2381.2611,753.8736333333333,396.87685,0.0,0.0,356.99678333333327,0.0,5259.583018518519,4862.919925925926,0.4052433271604938,0.0,356.99678333333327,272.88834117999994,放电
46,7:30-7:40,450,460,0.6899,4383.3566,2683.1752,730.5594333333333,447.1958666666667,0.0,0.0,283.36356666666666,0.0,4862.919925925926,4548.071518518518,0.3790059598765432,0.0,283.36356666666666,195.49252464333333,放电
47,7:40-7:50,460,470,0.86,4910.4599,2986.3552,818.4099833333332,497.72586666666666,0.0,0.0,320.68411666666657,0.0,4548.071518518518,4191.755833333333,0.34931298611111106,0.0,320.68411666666657,275.7883403333332,放电
48,7:50-8:00,470,480,1.1617,5799.7327,3289.204,966.6221166666666,548.2006666666666,0.0,0.0,418.42144999999994,0.0,4191.755833333333,3726.8431111111104,0.3105702592592592,0.0,418.42144999999994,486.0801984649999,放电
49,8:00-8:10,480,490,1.1683,5884.826,3593.3613,980.8043333333333,598.89355,0.0,0.0,381.91078333333326,0.0,3726.8431111111104,3302.4977962962957,0.275208149691358,0.0,381.91078333333326,446.1863681683332,放电
50,8:10-8:20,490,500,1.0956,5748.0713,3890.7332,958.0118833333332,648.4555333333333,0.0,0.0,309.55634999999995,0.0,3302.4977962962957,2958.5462962962956,0.24654552469135796,0.0,309.55634999999995,339.1499370599999,放电
51,8:20-8:30,500,510,1.0849,5769.0581,4181.3417,961.5096833333333,696.8902833333333,0.0,0.0,264.61940000000004,0.0,2958.5462962962956,2664.52474074074,0.22204372839506167,0.0,264.61940000000004,287.08558706,放电
52,8:30-8:40,510,520,1.061,5754.2105,4471.7657,959.0350833333333,745.2942833333333,0.0,0.0,213.74080000000004,0.0,2664.52474074074,2427.0349629629623,0.20225291358024686,0.0,213.74080000000004,226.77898880000004,放电
53,8:40-8:50,520,530,1.043,5824.1807,4752.8272,970.6967833333333,792.1378666666666,0.0,0.0,178.55891666666673,0.0,2427.0349629629623,2228.6361666666658,0.1857196805555555,0.0,178.55891666666673,186.2369500833334,放电
54,8:50-9:00,530,540,1.036,5954.2601,5021.9074,992.3766833333334,836.9845666666666,0.0,0.0,155.39211666666677,0.0,2228.6361666666658,2055.9782592592583,0.1713315216049382,0.0,155.39211666666677,160.98623286666677,放电
55,9:00-9:10,540,550,1.0147,5958.9696,5285.4126,993.1616,880.9020999999999,0.0,0.0,112.25950000000012,0.0,2055.9782592592583,1931.2454814814803,0.16093712345679,0.0,112.25950000000012,113.90971465000011,放电
56,9:10-9:20,550,560,0.9922,5929.5554,5543.1742,988.2592333333333,923.8623666666667,0.0,0.0,64.3968666666666,0.0,1931.2454814814803,1859.6934074074063,0.15497445061728385,0.0,64.3968666666666,63.8945711066666,放电
57,9:20-9:30,560,570,0.97,5923.7828,5788.4093,987.2971333333332,964.7348833333333,0.0,0.0,22.56224999999995,0.0,1859.6934074074063,1834.6242407407397,0.15288535339506162,0.0,22.56224999999995,21.88538249999995,放电
58,9:30-9:40,570,580,0.9422,5907.586,6012.1304,984.5976666666667,1002.0217333333333,0.0,17.42406666666659,0.0,0.0,1834.6242407407397,1850.3059007407396,0.15419215839506165,0.0,0.0,0.0,充电
59,9:40-9:50,580,590,0.9569,5899.1262,6216.1528,983.1877,1036.0254666666665,0.0,52.83776666666654,0.0,0.0,1850.3059007407396,1897.8598907407395,0.15815499089506163,0.0,0.0,0.0,充电
60,9:50-10:00,590,600,0.9977,5902.2196,6409.5941,983.7032666666667,1068.2656833333333,0.0,84.56241666666665,0.0,0.0,1897.8598907407395,1973.9660657407394,0.16449717214506163,0.0,0.0,0.0,充电
61,10:00-10:10,600,610,0.9919,5897.4793,6599.3808,982.9132166666666,1099.8968,0.0,116.9835833333334,0.0,0.0,1973.9660657407394,2079.2512907407395,0.17327094089506162,0.0,0.0,0.0,充电
62,10:10-10:20,610,620,0.9588,5886.7568,6766.7204,981.1261333333333,1127.7867333333334,0.0,146.66060000000004,0.0,0.0,2079.2512907407395,2211.2458307407396,0.18427048589506165,0.0,0.0,0.0,充电
63,10:20-10:30,620,630,0.9549,5873.4708,6914.5923,978.9118,1152.43205,0.0,173.52024999999992,0.0,0.0,2211.2458307407396,2367.4140557407395,0.19728450464506161,0.0,0.0,0.0,充电
64,10:30-10:40,630,640,0.9839,5858.0308,7064.2053,976.3384666666667,1177.36755,0.0,201.02908333333323,0.0,0.0,2367.4140557407395,2548.3402307407396,0.21236168589506163,0.0,0.0,0.0,充电
65,10:40-10:50,640,650,0.799,5844.9948,7197.4315,974.1658,1199.5719166666665,0.0,225.40611666666655,0.0,0.0,2548.3402307407396,2751.2057357407393,0.22926714464506162,0.0,0.0,0.0,充电
66,10:50-11:00,650,660,0.5025,5839.0587,7303.1142,973.1764499999999,1217.1857,0.0,244.00925000000007,0.0,0.0,2751.2057357407393,2970.8140607407395,0.24756783839506163,0.0,0.0,0.0,充电
67,11:00-11:10,660,670,0.4662,5838.7103,7387.6848,973.1183833333332,1231.2808,575.1709166666665,833.3333333333333,0.0,0.0,2970.8140607407395,3720.8140607407395,0.31006783839506163,268.1446813499999,0.0,0.0,充电
68,11:10-11:20,670,680,0.5007,5823.4378,7459.227,970.5729666666666,1243.2044999999998,0.0,272.6315333333332,0.0,0.0,3720.8140607407395,3966.1824407407394,0.33051520339506163,0.0,0.0,0.0,充电
69,11:20-11:30,680,690,0.4827,5814.7932,7520.7191,969.1322,1253.4531833333333,0.0,284.3209833333333,0.0,0.0,3966.1824407407394,4222.07132574074,0.35183927714506164,0.0,0.0,0.0,充电
70,11:30-11:40,690,700,0.4785,5832.3951,7568.2039,972.06585,1261.3673166666667,179.2771713991827,468.5786380658495,0.0,0.0,4222.07132574074,4643.792100000004,0.38698267500000033,85.78412651450891,0.0,0.0,充电
71,11:40-11:50,700,710,0.4662,5712.901,7592.1539,952.1501666666666,1265.3589833333333,520.1245166666665,833.3333333333333,0.0,0.0,4643.792100000004,5393.792100000004,0.44948267500000033,242.48204966999992,0.0,0.0,充电
72,11:50-12:00,710,720,0.4432,5519.4607,7601.0433,919.9101166666666,1266.84055,486.40289999999993,833.3333333333333,0.0,0.0,5393.792100000004,6143.792100000004,0.5119826750000004,215.57376527999998,0.0,0.0,充电
73,12:00-12:10,720,730,0.4411,5494.7907,7612.316,915.7984499999999,1268.7193333333332,480.4124499999999,833.3333333333333,0.0,0.0,6143.792100000004,6893.792100000004,0.5744826750000004,211.90993169499995,0.0,0.0,充电
74,12:10-12:20,730,740,0.4551,5514.4524,7602.6524,919.0754,1267.1087333333332,485.29999999999995,833.3333333333333,0.0,0.0,6893.792100000004,7643.792100000004,0.6369826750000004,220.86003,0.0,0.0,充电
75,12:20-12:30,740,750,0.4463,5485.829,7554.1872,914.3048333333332,1259.0312,488.6069666666666,833.3333333333333,0.0,0.0,7643.792100000004,8393.792100000004,0.6994826750000004,218.06528922333328,0.0,0.0,充电
76,12:30-12:40,750,760,0.4113,5462.3628,7472.7384,910.3937999999999,1245.4564,498.27073333333317,833.3333333333333,0.0,0.0,8393.792100000004,9143.792100000004,0.7619826750000004,204.93875261999995,0.0,0.0,充电
77,12:40-12:50,760,770,0.5682,5566.1066,7393.4172,927.6844333333333,1232.2361999999998,0.0,304.5517666666665,0.0,0.0,9143.792100000004,9417.888690000003,0.7848240575000003,0.0,0.0,0.0,充电
78,12:50-13:00,770,780,0.8279,5725.7548,7312.7979,954.2924666666665,1218.79965,0.0,264.5071833333334,0.0,0.0,9417.888690000003,9655.945155000003,0.8046620962500003,0.0,0.0,0.0,充电
79,13:00-13:10,780,790,0.8636,5739.4957,7194.541,956.5826166666667,1199.0901666666666,0.0,242.50754999999992,0.0,0.0,9655.945155000003,9874.201950000002,0.8228501625000002,0.0,0.0,0.0,充电
80,13:10-13:20,790,800,0.8416,5714.6836,7053.1371,952.4472666666667,1175.5228499999998,0.0,223.07558333333316,0.0,0.0,9874.201950000002,10074.969975000002,0.8395808312500002,0.0,0.0,0.0,充电
81,13:20-13:30,800,810,0.8618,5717.8505,6910.4064,952.9750833333333,1151.7343999999998,0.0,198.75931666666656,0.0,0.0,10074.969975000002,10253.853360000001,0.85448778,0.0,0.0,0.0,充电
82,13:30-13:40,810,820,0.8623,5708.2486,6772.4075,951.3747666666666,1128.7345833333334,0.0,177.3598166666668,0.0,0.0,10253.853360000001,10413.477195000001,0.8677897662500001,0.0,0.0,0.0,充电
83,13:40-13:50,820,830,0.9026,5696.9182,6607.36,949.4863666666666,1101.2266666666665,0.0,151.74029999999982,0.0,0.0,10413.477195000001,10550.043465,0.87917028875,0.0,0.0,0.0,充电
84,13:50-14:00,830,840,0.9754,5692.2983,6412.5085,948.7163833333334,1068.7514166666665,0.0,120.0350333333331,0.0,0.0,10550.043465,10658.074995,0.88817291625,0.0,0.0,0.0,充电
85,14:00-14:10,840,850,1.0002,5687.1291,6214.0158,947.8548499999999,1035.6693,0.0,87.81445000000008,0.0,0.0,10658.074995,10737.108,0.894759,0.0,0.0,0.0,充电
86,14:10-14:20,850,860,0.9978,5678.962,6000.7112,946.4936666666667,1000.1185333333333,0.0,53.62486666666655,0.0,0.0,10737.108,10785.37038,0.898780865,0.0,0.0,0.0,充电
87,14:20-14:30,860,870,1.0271,5669.4508,5766.9816,944.9084666666665,961.1636,0.0,16.255133333333447,0.0,0.0,10785.37038,10800.0,0.9,0.0,0.0,0.0,充电
88,14:30-14:40,870,880,1.0906,5664.1948,5521.5066,944.0324666666667,920.2511,0.0,0.0,23.781366666666713,0.0,10800.0,10773.57625925926,0.8977980216049384,0.0,23.781366666666713,25.935958486666717,放电
89,14:40-14:50,880,890,0.9376,5672.7011,5268.781,945.4501833333334,878.1301666666666,0.0,0.0,67.32001666666679,0.0,10773.57625925926,10698.77624074074,0.8915646867283951,0.0,67.32001666666679,63.11924762666678,放电
90,14:50-15:00,890,900,0.6694,5682.2544,5009.7152,947.0423999999999,834.9525333333332,112.0898666666667,0.0,0.0,0.0,10698.77624074074,10698.77624074074,0.8915646867283951,75.03295674666668,112.0898666666667,75.03295674666668,待机
91,15:00-15:10,900,910,0.66,5669.0195,4743.4484,944.8365833333334,790.5747333333334,266.73269362139905,112.47084362139907,0.0,0.0,10698.77624074074,10800.0,0.9,176.04357779012338,154.26184999999998,101.81282099999999,充电
92,15:10-15:20,910,920,0.7217,5656.3651,4471.224,942.7275166666666,745.204,197.52351666666664,0.0,0.0,0.0,10800.0,10800.0,0.9,142.55272197833332,197.52351666666664,142.55272197833332,待机
93,15:20-15:30,920,930,0.7308,5657.0867,4188.2025,942.8477833333333,698.03375,244.8140333333332,0.0,0.0,0.0,10800.0,10800.0,0.9,178.91009555999992,244.8140333333332,178.91009555999992,待机
94,15:30-15:40,930,940,0.7534,5662.6008,3889.3931,943.7668,648.2321833333333,295.5346166666667,0.0,0.0,0.0,10800.0,10800.0,0.9,222.65578019666668,295.5346166666667,222.65578019666668,待机
95,15:40-15:50,940,950,0.7823,5669.2596,3594.5946,944.8766,599.0990999999999,345.77750000000015,0.0,0.0,0.0,10800.0,10800.0,0.9,270.50173825000013,345.77750000000015,270.50173825000013,待机
96,15:50-16:00,950,960,0.8055,5673.4767,3303.8878,945.57945,550.6479666666667,394.9314833333333,0.0,0.0,0.0,10800.0,10800.0,0.9,318.11730982499995,394.9314833333333,318.11730982499995,待机
97,16:00-16:10,960,970,0.8271,5671.0146,2998.4247,945.1691000000001,499.73744999999997,445.4316500000001,0.0,0.0,0.0,10800.0,10800.0,0.9,368.41651771500005,445.4316500000001,368.41651771500005,待机
98,16:10-16:20,970,980,0.8519,5661.5926,2687.4131,943.5987666666666,447.90218333333337,495.69658333333325,0.0,0.0,0.0,10800.0,10800.0,0.9,422.2839193416666,495.69658333333325,422.2839193416666,待机
99,16:20-16:30,980,990,0.8791,5665.8922,2383.1779,944.3153666666667,397.1963166666667,547.11905,0.0,0.0,0.0,10800.0,10800.0,0.9,480.972356855,547.11905,480.972356855,待机
100,16:30-16:40,990,1000,0.9024,5689.0372,2089.1246,948.1728666666666,348.18743333333333,599.9854333333333,0.0,0.0,0.0,10800.0,10800.0,0.9,541.42685504,599.9854333333333,541.42685504,待机
101,16:40-16:50,1000,1010,0.9163,5603.6614,1791.0829,933.9435666666666,298.5138166666667,635.4297499999999,0.0,0.0,0.0,10800.0,10800.0,0.9,582.2442799249999,635.4297499999999,582.2442799249999,待机
102,16:50-17:00,1010,1020,0.9264,5466.7124,1501.7283,911.1187333333334,250.28805,660.8306833333334,0.0,0.0,0.0,10800.0,10800.0,0.9,612.19354504,660.8306833333334,612.19354504,待机
103,17:00-17:10,1020,1030,0.9462,5467.3939,1255.1723,911.2323166666666,209.19538333333333,702.0369333333333,0.0,0.0,0.0,10800.0,10800.0,0.9,664.26734632,702.0369333333333,664.26734632,待机
104,17:10-17:20,1030,1040,0.9742,5464.727,1036.3323,910.7878333333333,172.72205,738.0657833333333,0.0,0.0,0.0,10800.0,10800.0,0.9,719.0236861233333,738.0657833333333,719.0236861233333,待机
105,17:20-17:30,1040,1050,0.9862,5492.4458,836.7775,915.4076333333334,139.46291666666667,775.9447166666666,0.0,0.0,0.0,10800.0,10800.0,0.9,765.2366795766666,775.9447166666666,765.2366795766666,待机
106,17:30-17:40,1050,1060,0.976,5621.7308,665.2313,936.9551333333334,110.87188333333333,826.08325,0.0,0.0,0.0,10800.0,10800.0,0.9,806.257252,826.08325,806.257252,待机
107,17:40-17:50,1060,1070,1.0742,5091.2126,516.6758,848.5354333333332,86.11263333333332,762.4227999999999,0.0,0.0,0.0,10800.0,10800.0,0.9,818.99457176,762.4227999999999,818.99457176,待机
108,17:50-18:00,1070,1080,1.2313,4208.5688,386.6731,701.4281333333333,64.44551666666666,636.9826166666667,0.0,0.0,0.0,10800.0,10800.0,0.9,784.3166959016667,636.9826166666667,784.3166959016667,待机
109,18:00-18:10,1080,1090,1.2561,4122.7611,275.7933,687.1268499999999,45.96554999999999,531.8940499999999,0.0,109.26725000000005,0.0,10800.0,10678.591944444444,0.889882662037037,668.1121162049999,641.1612999999999,805.3627089299998,放电
110,18:10-18:20,1090,1100,1.2447,4255.9358,182.9526,709.3226333333333,30.492099999999997,678.8305333333333,0.0,0.0,0.0,10678.591944444444,10678.591944444444,0.889882662037037,844.9403648399999,678.8305333333333,844.9403648399999,待机
111,18:20-18:30,1100,1110,1.2545,4225.9524,108.3414,704.3254,18.0569,686.2684999999999,0.0,0.0,0.0,10678.591944444444,10678.591944444444,0.889882662037037,860.9238332499998,686.2684999999999,860.9238332499998,待机
112,18:30-18:40,1110,1120,1.2522,4233.3384,54.3121,705.5563999999999,9.052016666666667,696.5043833333333,0.0,0.0,0.0,10678.591944444444,10678.591944444444,0.889882662037037,872.1627888099999,696.5043833333333,872.1627888099999,待机
113,18:40-18:50,1120,1130,1.2881,4246.4625,18.6569,707.7437499999999,3.1094833333333334,0.0,0.0,704.6342666666666,0.0,10678.591944444444,9895.664981481481,0.8246387484567901,0.0,704.6342666666666,907.6393988933332,放电
114,18:50-19:00,1130,1140,1.3466,4239.1795,0.2753,706.5299166666666,0.04588333333333333,0.0,0.0,706.4840333333333,0.0,9895.664981481481,9110.682722222222,0.7592235601851851,0.0,706.4840333333333,951.3513992866666,放电
115,19:00-19:10,1140,1150,1.3523,4244.6684,0.2296,707.4447333333333,0.038266666666666664,0.0,0.0,707.4064666666666,0.0,9110.682722222222,8324.675537037037,0.6937229614197531,0.0,707.4064666666666,956.6257648733332,放电
116,19:10-19:20,1150,1160,1.3445,4251.9187,0.6007,708.6531166666666,0.10011666666666666,0.0,0.0,708.553,0.0,8324.675537037037,7537.394425925927,0.6281162021604939,0.0,708.553,952.6495085,放电
117,19:20-19:30,1160,1170,1.3483,4256.6813,0.0,709.4468833333333,0.0,0.0,0.0,709.4468833333333,0.0,7537.394425925927,6749.120111111112,0.562426675925926,0.0,709.4468833333333,956.5472327983333,放电
118,19:30-19:40,1170,1180,1.349,4267.3947,0.0,711.23245,0.0,0.0,0.0,711.23245,0.0,6749.120111111112,5958.861833333334,0.4965718194444445,0.0,711.23245,959.45257505,放电
119,19:40-19:50,1180,1190,1.3473,4269.975,0.0,711.6625,0.0,0.0,0.0,711.6625,0.0,5958.861833333334,5168.125722222223,0.4306771435185186,0.0,711.6625,958.82288625,放电
120,19:50-20:00,1190,1200,1.3482,4268.6702,0.0,711.4450333333332,0.0,0.0,0.0,711.4450333333332,0.0,5168.125722222223,4377.631240740741,0.36480260339506176,0.0,711.4450333333332,959.1701939399999,放电
121,20:00-20:10,1200,1210,1.3513,4282.2245,0.0,713.7040833333333,0.0,0.0,0.0,713.7040833333333,0.0,4377.631240740741,3584.626703703704,0.29871889197530865,0.0,713.7040833333333,964.4283278083333,放电
122,20:10-20:20,1210,1220,1.34,4291.7049,0.0,715.28415,0.0,0.0,0.0,715.28415,0.0,3584.626703703704,2789.8665370370372,0.23248887808641977,0.0,715.28415,958.480761,放电
123,20:20-20:30,1220,1230,1.3489,4291.3611,0.0,715.22685,0.0,0.0,0.0,715.22685,0.0,2789.8665370370372,1995.170037037037,0.16626416975308642,0.0,715.22685,964.769497965,放电
124,20:30-20:40,1230,1240,1.3952,4293.9182,0.0,715.6530333333333,0.0,0.0,0.0,715.6530333333333,0.0,1995.170037037037,1200.0,0.1,0.0,715.6530333333333,998.4791121066665,放电
125,20:40-20:50,1240,1250,1.2226,4295.2135,0.0,715.8689166666666,0.0,715.8689166666666,0.0,0.0,0.0,1200.0,1200.0,0.1,875.2213375166665,715.8689166666666,875.2213375166665,待机
126,20:50-21:00,1250,1260,0.9332,4302.0307,0.0,717.0051166666667,0.0,717.0051166666667,0.0,0.0,0.0,1200.0,1200.0,0.1,669.1091748733334,717.0051166666667,669.1091748733334,待机
127,21:00-21:10,1260,1270,0.9068,4320.9618,0.0,720.1603,0.0,720.1603,0.0,0.0,0.0,1200.0,1200.0,0.1,653.0413600400001,720.1603,653.0413600400001,待机
128,21:10-21:20,1270,1280,0.9371,4302.3292,0.0,717.0548666666666,0.0,717.0548666666666,0.0,0.0,0.0,1200.0,1200.0,0.1,671.9521155533333,717.0548666666666,671.9521155533333,待机
