日期,时段,计划购电量kWh,充电量kWh,放电量kWh,计划净供给kWh,净负载预测kWh,紧急购电量kWh,储电量kWh
2025-02-01,05:50,561.4139,0.0000,-0.0000,561.4139,542.6027,0.0000,
2025-02-01,06:00,0.0000,0.0000,559.5213,559.5213,540.0563,0.0000,
2025-02-01,06:10,0.0000,0.0000,579.5246,579.5246,553.1365,0.0000,
2025-02-01,06:20,0.0000,0.0000,584.2005,584.2005,556.0976,0.0000,
2025-02-01,06:30,0.0000,0.0000,567.2257,567.2257,546.9193,0.0000,
2025-02-01,06:40,0.0000,0.0000,576.8131,576.8131,548.1465,0.0000,
2025-02-01,06:50,0.0000,0.0000,593.7100,593.7100,575.5778,0.0000,
2025-02-01,07:00,0.0000,0.0000,624.8272,624.8272,589.3525,0.0000,
2025-02-01,07:10,0.0000,0.0000,592.3243,592.3243,556.9322,0.0000,
2025-02-01,07:20,0.0000,0.0000,526.5724,526.5724,494.2783,0.0000,
2025-02-01,07:30,0.0000,0.0000,467.9035,467.9035,433.6031,0.0000,
2025-02-01,07:40,0.0000,0.0000,435.8312,435.8312,396.7143,0.0000,
2025-02-01,07:50,0.0000,0.0000,373.4801,373.4801,356.2594,0.0000,
2025-02-01,08:00,0.0000,0.0000,330.7042,330.7042,300.2536,0.0000,
2025-02-01,08:10,0.0000,0.0000,258.2950,258.2950,242.5049,0.0000,
2025-02-01,08:20,0.0000,0.0000,211.3677,211.3677,189.0131,0.0000,
2025-02-01,08:30,0.0000,0.0000,160.9689,160.9689,137.7351,0.0000,
2025-02-01,08:40,0.0000,0.0000,131.5244,131.5244,89.9481,0.0000,
2025-02-01,08:50,0.0000,0.0000,122.0145,122.0145,80.8329,0.0000,
2025-02-01,09:00,0.0000,0.0000,125.1871,125.1871,96.6829,0.0000,
2025-02-01,09:10,0.0000,0.0000,117.3083,117.3083,77.6678,0.0000,
2025-02-01,09:20,0.0000,0.0000,48.8446,48.8446,11.1356,0.0000,
2025-02-01,09:30,0.0000,3.5873,0.0000,-3.5873,-58.4790,0.0000,
2025-02-01,09:40,0.0000,10.2076,0.0000,-10.2076,-74.2550,0.0000,
2025-02-01,09:50,0.0000,43.7589,0.0000,-43.7589,-104.3830,0.0000,
2025-02-01,10:00,0.0000,92.8184,0.0000,-92.8184,-167.2126,0.0000,
2025-02-01,10:10,0.0000,121.7809,0.0000,-121.7809,-213.3753,0.0000,
2025-02-01,10:20,0.0000,186.1882,0.0000,-186.1882,-248.2827,0.0000,
2025-02-01,10:30,0.0000,184.4000,0.0000,-184.4000,-274.0285,0.0000,
2025-02-01,10:40,0.0000,229.7849,0.0000,-229.7849,-284.8256,0.0000,
2025-02-01,10:50,0.0000,271.6689,0.0000,-271.6689,-312.7157,0.0000,
2025-02-01,11:00,0.0000,310.0401,0.0000,-310.0401,-347.4046,0.0000,
2025-02-01,11:10,127.6690,370.0395,0.0000,-242.3704,-346.9424,0.0000,
2025-02-01,11:20,0.0000,254.3950,0.0000,-254.3950,-348.5537,0.0000,
2025-02-01,11:30,0.0000,286.7604,0.0000,-286.7604,-360.6877,0.0000,
2025-02-01,11:40,0.0000,260.9645,0.0000,-260.9645,-356.9598,0.0000,
2025-02-01,11:50,571.1181,833.3333,0.0000,-262.2152,-366.2934,0.0000,
2025-02-01,12:00,566.3654,833.3333,0.0000,-266.9680,-388.3100,0.0000,
2025-02-01,12:10,590.4075,833.3333,0.0000,-242.9259,-389.6488,0.0000,
2025-02-01,12:20,613.3440,833.3333,0.0000,-219.9893,-379.4480,0.0000,
2025-02-01,12:30,616.7838,833.3333,0.0000,-216.5495,-372.3585,0.0000,
2025-02-01,12:40,583.6122,833.3333,0.0000,-249.7211,-371.2978,0.0000,
2025-02-01,12:50,0.0000,268.3179,0.0000,-268.3179,-356.1698,0.0000,
2025-02-01,13:00,0.0000,241.0049,0.0000,-241.0049,-336.4332,0.0000,
2025-02-01,13:10,0.0000,264.8399,0.0000,-264.8399,-340.8732,0.0000,
2025-02-01,13:20,0.0000,275.0686,0.0000,-275.0686,-336.3726,0.0000,
2025-02-01,13:30,0.0000,246.6908,0.0000,-246.6908,-314.4233,0.0000,
2025-02-01,13:40,0.0000,203.6410,0.0000,-203.6410,-298.2294,0.0000,
2025-02-01,13:50,0.0000,200.3691,0.0000,-200.3691,-276.7142,0.0000,
2025-02-01,14:00,0.0000,113.2711,0.0000,-113.2711,-246.9934,0.0000,
2025-02-01,14:10,0.0000,99.1593,0.0000,-99.1593,-221.0817,0.0000,
2025-02-01,14:20,0.0000,114.2517,0.0000,-114.2517,-201.0990,0.0000,
2025-02-01,14:30,0.0000,130.4939,0.0000,-130.4939,-171.4087,13.9055,
2025-02-01,14:40,0.0000,75.3470,0.0000,-75.3470,-114.4389,0.0000,
2025-02-01,14:50,0.0000,3.0623,0.0000,-3.0623,-63.7712,0.0000,
2025-02-01,15:00,2.9171,0.0000,-0.0000,2.9171,-32.3484,0.0000,
2025-02-01,15:10,16.1536,0.0000,0.0000,16.1536,0.0486,12.2755,
2025-02-01,15:20,53.1734,0.0000,-0.0000,53.1734,50.8520,44.7607,
2025-02-01,15:30,123.6377,0.0000,-0.0000,123.6377,112.3128,34.3798,
2025-02-01,15:40,167.8207,0.0000,-0.0000,167.8207,161.8137,15.3397,
2025-02-01,15:50,221.5229,0.0000,-0.0000,221.5229,212.3472,0.0000,
2025-02-01,16:00,278.0700,0.0000,-0.0000,278.0700,254.6805,0.0000,
2025-02-01,16:10,287.5728,0.0000,-0.0000,287.5728,269.2741,0.0000,
2025-02-01,16:20,330.4772,0.0000,-0.0000,330.4772,317.2046,0.0000,
2025-02-01,16:30,420.4184,0.0000,-0.0000,420.4184,395.2579,0.0000,
2025-02-01,16:40,436.3069,0.0000,-0.0000,436.3069,431.1749,0.0000,
2025-02-01,16:50,433.7970,0.0000,-0.0000,433.7970,417.3208,0.0000,
2025-02-01,17:00,427.5754,0.0000,-0.0000,427.5754,400.5819,0.0000,
2025-02-01,17:10,461.3310,0.0000,-0.0000,461.3310,437.2929,0.0000,
2025-02-01,17:20,476.6884,0.0000,-0.0000,476.6884,467.1832,0.0000,
2025-02-01,17:30,500.2145,0.0000,-0.0000,500.2145,475.2173,0.0000,
2025-02-01,17:40,500.1735,0.0000,0.0000,500.1735,470.9675,0.0000,
2025-02-01,17:50,495.0532,0.0000,-0.0000,495.0532,467.9124,0.0000,
2025-02-01,18:00,0.0000,0.0000,501.1523,501.1523,471.2892,0.0000,
2025-02-01,18:10,0.0000,0.0000,490.0109,490.0109,479.0020,0.0000,
2025-02-01,18:20,0.0000,0.0000,501.6510,501.6510,475.5987,0.0000,
2025-02-01,18:30,0.0000,0.0000,487.3773,487.3773,458.2215,0.0000,
2025-02-01,18:40,0.0000,0.0000,483.9096,483.9096,441.4463,0.0000,
2025-02-01,18:50,0.0000,0.0000,473.6007,473.6007,443.1201,0.0000,
2025-02-01,19:00,0.0000,0.0000,500.2678,500.2678,449.5683,0.0000,
2025-02-01,19:10,0.0000,0.0000,456.8561,456.8561,434.5563,0.0000,
2025-02-01,19:20,0.0000,0.0000,477.9779,477.9779,446.7937,0.0000,
2025-02-01,19:30,0.0000,0.0000,524.0193,524.0193,477.7758,0.0000,
2025-02-01,19:40,0.0000,0.0000,497.0783,497.0783,468.3186,0.0000,
2025-02-01,19:50,0.0000,0.0000,476.2600,476.2600,459.4604,0.0000,
2025-02-01,20:00,0.0000,0.0000,490.7546,490.7546,466.5626,0.0000,
2025-02-01,20:10,0.0000,0.0000,489.2114,489.2114,463.4980,0.0000,
2025-02-01,20:20,0.0000,0.0000,495.2813,495.2813,463.4841,0.0000,
2025-02-01,20:30,0.0000,0.0000,489.1007,489.1007,467.7660,0.0000,
2025-02-01,20:40,0.0000,0.0000,512.0696,512.0696,465.0707,0.0000,
2025-02-01,20:50,205.0478,0.0000,293.4212,498.4690,481.2341,0.0000,
2025-02-01,21:00,513.2459,0.0000,0.0000,513.2459,498.9032,0.0000,
2025-02-01,21:10,482.3184,0.0000,0.0000,482.3184,473.5753,15.1024,
2025-02-01,21:20,473.8481,0.0000,0.0000,473.8481,460.4265,29.4350,
2025-02-01,21:30,536.0304,0.0000,0.0000,536.0304,481.7208,0.0000,
2025-02-01,21:40,522.4866,0.0000,-0.0000,522.4866,500.3651,0.0000,
2025-02-01,21:50,520.5060,0.0000,-0.0000,520.5060,477.7941,0.0000,
2025-02-01,22:00,1289.9305,833.3333,0.0000,456.5972,428.3268,0.0000,
2025-02-01,22:10,1256.2905,833.3333,0.0000,422.9572,405.2515,0.0000,
2025-02-01,22:20,422.9771,0.0000,0.0000,422.9771,407.3207,0.0000,
2025-02-01,22:30,1270.2586,833.3333,0.0000,436.9253,419.7956,0.0000,
2025-02-01,22:40,1271.6895,833.3333,0.0000,438.3562,426.8267,0.0000,
2025-02-01,22:50,1269.8893,833.3333,0.0000,436.5560,407.3034,0.0000,
2025-02-01,23:00,1242.5722,833.3333,0.0000,409.2389,385.7104,22.5578,
2025-02-01,23:10,1098.7173,666.6667,0.0000,432.0506,409.0864,0.0000,
2025-02-01,23:20,1290.8847,833.3333,0.0000,457.5514,429.1350,0.0000,
2025-02-01,23:30,1280.7342,833.3333,0.0000,447.4009,421.5367,0.0000,
2025-02-01,23:40,1275.9574,833.3333,0.0000,442.6241,420.1645,0.0000,
2025-02-01,23:50,513.4616,0.0000,0.0000,513.4616,493.1547,0.0000,
2025-02-01,24:00,609.5397,0.0000,0.0000,609.5397,598.3022,0.0000,8550.0000
2025-02-02,00:10,1468.8358,833.3333,0.0000,635.5024,618.5651,0.0000,
2025-02-02,00:20,1454.9811,833.3333,0.0000,621.6478,603.6460,0.0000,
2025-02-02,00:30,611.4884,0.0000,0.0000,611.4884,601.7440,0.0000,
2025-02-02,00:40,627.4368,0.0000,0.0000,627.4368,612.7769,0.0000,
2025-02-02,00:50,635.8687,0.0000,0.0000,635.8687,616.4784,0.0000,
2025-02-02,01:00,626.1508,0.0000,0.0000,626.1508,610.8391,0.0000,
2025-02-02,01:10,637.1748,0.0000,0.0000,637.1748,613.8691,0.0000,
2025-02-02,01:20,658.5804,0.0000,0.0000,658.5804,631.6140,0.0000,
2025-02-02,01:30,665.9294,0.0000,0.0000,665.9294,647.5797,0.0000,
2025-02-02,01:40,651.8044,0.0000,0.0000,651.8044,636.1387,0.0000,
2025-02-02,01:50,624.8358,0.0000,0.0000,624.8358,612.4531,0.0000,
2025-02-02,02:00,609.8848,0.0000,0.0000,609.8848,605.0816,18.7802,
2025-02-02,02:10,649.2823,0.0000,0.0000,649.2823,632.8973,0.0000,
2025-02-02,02:20,687.4167,0.0000,0.0000,687.4167,664.7851,0.0000,
2025-02-02,02:30,685.6219,0.0000,0.0000,685.6219,673.0490,0.0000,
2025-02-02,02:40,665.9134,0.0000,0.0000,665.9134,657.1148,0.0000,
2025-02-02,02:50,687.1655,0.0000,0.0000,687.1655,658.6177,0.0000,
2025-02-02,03:00,706.9452,0.0000,0.0000,706.9452,673.0671,0.0000,
2025-02-02,03:10,674.1178,0.0000,0.0000,674.1178,660.5115,0.0000,
2025-02-02,03:20,677.4137,0.0000,0.0000,677.4137,662.2920,0.0000,
2025-02-02,03:30,689.9100,0.0000,0.0000,689.9100,675.2724,0.0000,
2025-02-02,03:40,677.9932,0.0000,0.0000,677.9932,654.7761,0.0000,
2025-02-02,03:50,662.4678,0.0000,0.0000,662.4678,649.0648,0.0000,
2025-02-02,04:00,684.0691,0.0000,0.0000,684.0691,671.5028,0.0000,
2025-02-02,04:10,695.4944,0.0000,0.0000,695.4944,685.3969,0.0000,
2025-02-02,04:20,695.3908,0.0000,0.0000,695.3908,689.2430,0.0000,
2025-02-02,04:30,705.3572,0.0000,0.0000,705.3572,691.4026,0.0000,
2025-02-02,04:40,712.3201,0.0000,0.0000,712.3201,694.3738,0.0000,
2025-02-02,04:50,695.7198,0.0000,0.0000,695.7198,677.4378,0.0000,
2025-02-02,05:00,678.0163,0.0000,0.0000,678.0163,657.8446,3.0170,
2025-02-02,05:10,694.6388,0.0000,0.0000,694.6388,678.6485,0.0000,
2025-02-02,05:20,723.5418,0.0000,0.0000,723.5418,711.1197,0.0000,
2025-02-02,05:30,730.0498,0.0000,0.0000,730.0498,710.4352,0.0000,
2025-02-02,05:40,1530.8596,833.3333,0.0000,697.5262,673.6894,0.0000,
2025-02-02,05:50,764.3722,0.0000,-0.0000,764.3722,746.6533,0.0000,
2025-02-02,06:00,907.0139,0.0000,-0.0000,907.0139,890.1828,0.0000,
2025-02-02,06:10,115.7854,0.0000,809.8748,925.6602,911.5699,0.0000,
2025-02-02,06:20,906.1104,0.0000,0.0000,906.1104,889.9307,0.0000,
2025-02-02,06:30,907.1257,0.0000,0.0000,907.1257,892.2087,0.0000,
2025-02-02,06:40,915.6006,0.0000,0.0000,915.6006,896.6358,0.0000,
2025-02-02,06:50,883.3333,0.0000,0.0000,883.3333,877.3837,0.0000,
2025-02-02,07:00,835.8116,0.0000,0.0000,835.8116,829.5498,0.0000,
2025-02-02,07:10,825.4120,0.0000,0.0000,825.4120,799.1902,0.0000,
2025-02-02,07:20,765.2681,0.0000,0.0000,765.2681,755.8153,0.0000,
2025-02-02,07:30,709.3062,0.0000,0.0000,709.3062,682.0646,0.0000,
2025-02-02,07:40,1476.2166,833.3333,0.0000,642.8832,621.9554,0.0000,
2025-02-02,07:50,744.8369,0.0000,0.0000,744.8369,727.7398,0.0000,
2025-02-02,08:00,65.6533,0.0000,833.3333,898.9866,888.5237,0.0000,
2025-02-02,08:10,2.7508,0.0000,833.3333,836.0842,824.8848,0.0000,
2025-02-02,08:20,0.0000,0.0000,755.3552,755.3552,733.0005,3.5207,
2025-02-02,08:30,0.0000,0.0000,732.8507,732.8507,709.6168,0.0000,
2025-02-02,08:40,0.0000,0.0000,701.7478,701.7478,660.1715,0.0000,
2025-02-02,08:50,0.0000,0.0000,650.2052,650.2052,609.0237,0.0000,
2025-02-02,09:00,0.0000,0.0000,597.6602,597.6602,569.1560,0.0000,
2025-02-02,09:10,0.0000,0.0000,553.6758,553.6758,516.2560,0.0000,
2025-02-02,09:20,0.0000,0.0000,480.7228,480.7228,451.4027,0.0000,
2025-02-02,09:30,0.0000,0.0000,422.3209,422.3209,391.7560,0.0000,
2025-02-02,09:40,0.0000,0.0000,358.6119,358.6119,353.9075,0.0000,
2025-02-02,09:50,0.0000,0.0000,325.0306,325.0306,316.2771,0.0000,
2025-02-02,10:00,0.0000,0.0000,303.0111,303.0111,273.1700,0.0000,
2025-02-02,10:10,0.0000,0.0000,284.5048,284.5048,237.9602,0.0000,
2025-02-02,10:20,0.0000,0.0000,252.7300,252.7300,199.5594,0.0000,
2025-02-02,10:30,0.0000,0.0000,204.8330,204.8330,171.8742,0.0000,
2025-02-02,10:40,0.0000,0.0000,215.1987,215.1987,177.2806,0.0000,
2025-02-02,10:50,175.4143,0.0000,0.0000,175.4143,150.6022,0.0000,
2025-02-02,11:00,968.8337,833.3333,0.0000,135.5004,98.4652,0.0000,
2025-02-02,11:10,989.3681,833.3333,0.0000,156.0348,94.7374,0.0000,
2025-02-02,11:20,1013.1494,833.3333,0.0000,179.8160,107.2084,0.0000,
2025-02-02,11:30,1006.6771,833.3333,0.0000,173.3437,101.1500,0.0000,
2025-02-02,11:40,991.8203,833.3333,0.0000,158.4870,71.1531,0.0000,
2025-02-02,11:50,942.3018,833.3333,0.0000,108.9684,29.5467,0.0000,
2025-02-02,12:00,920.5624,833.3333,0.0000,87.2291,6.4849,0.0000,
2025-02-02,12:10,979.8113,833.3333,0.0000,146.4780,25.3263,0.0000,
2025-02-02,12:20,975.8173,833.3333,0.0000,142.4840,30.2548,0.0000,
2025-02-02,12:30,917.3304,833.3333,0.0000,83.9971,6.2657,0.0000,
2025-02-02,12:40,906.3703,833.3333,0.0000,73.0370,-0.8944,0.0000,
2025-02-02,12:50,963.4692,833.3333,0.0000,130.1359,50.7578,0.0000,
2025-02-02,13:00,206.2269,0.0000,0.0000,206.2269,116.3636,0.0000,
2025-02-02,13:10,174.7439,0.0000,0.0000,174.7439,108.0764,0.0000,
2025-02-02,13:20,161.7423,0.0000,0.0000,161.7423,103.0732,0.0000,
2025-02-02,13:30,190.5911,0.0000,0.0000,190.5911,130.6199,0.0000,
2025-02-02,13:40,175.8913,0.0000,0.0000,175.8913,145.9672,0.0000,
2025-02-02,13:50,0.0000,0.0000,185.8331,185.8331,167.3834,0.0000,
2025-02-02,14:00,0.0000,0.0000,215.8258,215.8258,199.4619,0.0000,
2025-02-02,14:10,0.0000,0.0000,251.8443,251.8443,224.4434,0.0000,
2025-02-02,14:20,0.0000,0.0000,298.3839,298.3839,256.0003,0.0000,
2025-02-02,14:30,0.0000,0.0000,337.9492,337.9492,297.0343,0.0000,
2025-02-02,14:40,0.0000,0.0000,371.3028,371.3028,335.0390,0.0000,
2025-02-02,14:50,0.0000,0.0000,381.0263,381.0263,371.5762,0.0000,
2025-02-02,15:00,1276.0803,833.3333,0.0000,442.7469,408.5256,0.0000,
2025-02-02,15:10,1295.5105,833.3333,0.0000,462.1772,446.0722,0.0000,
2025-02-02,15:20,1326.7293,833.3333,0.0000,493.3960,491.0747,0.0000,
2025-02-02,15:30,1247.1938,687.8586,0.0000,559.3351,548.0103,0.0000,
2025-02-02,15:40,616.8156,0.0000,0.0000,616.8156,610.8087,0.0000,
2025-02-02,15:50,654.3182,0.0000,0.0000,654.3182,649.5990,0.0000,
2025-02-02,16:00,675.0427,0.0000,0.0000,675.0427,675.0427,25.0465,
2025-02-02,16:10,737.6368,0.0000,0.0000,737.6368,727.4735,0.0000,
2025-02-02,16:20,794.7677,0.0000,0.0000,794.7677,781.5664,0.0000,
2025-02-02,16:30,828.6969,0.0000,0.0000,828.6969,826.9723,9.8744,
2025-02-02,16:40,879.5385,0.0000,-0.0000,879.5385,878.9488,0.0000,
2025-02-02,16:50,941.3307,-0.0000,0.0000,941.3307,928.1883,0.0000,
2025-02-02,17:00,988.1308,-0.0000,0.0000,988.1308,972.8150,0.0000,
2025-02-02,17:10,1017.9747,0.0000,0.0000,1017.9747,1017.0411,0.0000,
2025-02-02,17:20,1038.2290,-0.0000,0.0000,1038.2290,1029.1446,0.0000,
2025-02-02,17:30,1065.8239,0.0000,0.0000,1065.8239,1042.6826,0.0000,
2025-02-02,17:40,1090.2271,0.0000,0.0000,1090.2271,1067.6573,0.0000,
2025-02-02,17:50,949.1717,0.0000,0.0000,949.1717,940.9745,0.0000,
2025-02-02,18:00,761.4311,0.0000,-0.0000,761.4311,736.8552,0.0000,
2025-02-02,18:10,723.0227,0.0000,-0.0000,723.0227,715.3881,0.0000,
2025-02-02,18:20,758.0425,0.0000,0.0000,758.0425,742.4802,0.0000,
2025-02-02,18:30,749.3218,0.0000,0.0000,749.3218,723.6311,5.9548,
2025-02-02,18:40,725.0920,0.0000,0.0000,725.0920,703.8510,29.5104,
2025-02-02,18:50,271.2940,0.0000,472.4397,743.7337,717.1672,0.0000,
2025-02-02,19:00,0.0000,0.0000,751.1371,751.1371,739.5558,0.0000,
2025-02-02,19:10,0.0000,0.0000,727.8225,727.8225,719.9524,6.3203,
2025-02-02,19:20,0.0000,0.0000,741.7705,741.7705,711.2377,0.0000,
2025-02-02,19:30,0.0000,0.0000,766.8712,766.8712,729.7561,0.0000,
2025-02-02,19:40,0.0000,0.0000,756.1287,756.1287,736.4320,0.0000,
2025-02-02,19:50,0.0000,0.0000,739.6380,739.6380,723.4294,0.0000,
2025-02-02,20:00,0.0000,0.0000,719.7714,719.7714,702.2286,0.0000,
2025-02-02,20:10,0.0000,0.0000,714.3129,714.3129,694.2334,0.0410,
2025-02-02,20:20,0.0000,0.0000,728.2301,728.2301,715.7048,0.0000,
2025-02-02,20:30,0.0000,0.0000,765.4642,765.4642,745.3841,0.0000,
2025-02-02,20:40,0.0000,0.0000,756.4139,756.4139,741.0988,0.0000,
2025-02-02,20:50,734.4822,0.0000,-0.0000,734.4822,721.1205,0.0000,
2025-02-02,21:00,711.0445,0.0000,0.0000,711.0445,711.0445,0.0000,
2025-02-02,21:10,728.8469,0.0000,0.0000,728.8469,720.1039,0.0000,
2025-02-02,21:20,739.7794,0.0000,0.0000,739.7794,726.3577,0.0000,
2025-02-02,21:30,771.6373,0.0000,0.0000,771.6373,735.2034,0.0000,
2025-02-02,21:40,776.8581,0.0000,-0.0000,776.8581,757.9360,0.0000,
2025-02-02,21:50,730.7274,0.0000,-0.0000,730.7274,696.0556,0.0000,
2025-02-02,22:00,1437.0441,833.3333,0.0000,603.7108,577.4769,0.0000,
2025-02-02,22:10,1387.0217,833.3333,0.0000,553.6884,537.9657,0.0000,
2025-02-02,22:20,543.3659,0.0000,0.0000,543.3659,530.7696,0.0000,
2025-02-02,22:30,1376.7804,833.3333,0.0000,543.4471,531.8104,0.0000,
2025-02-02,22:40,1405.6867,833.3333,0.0000,572.3533,566.3205,0.0000,
2025-02-02,22:50,1435.4827,833.3333,0.0000,602.1494,579.9557,0.0000,
2025-02-02,23:00,1426.7584,833.3333,0.0000,593.4250,569.8966,0.0000,
2025-02-02,23:10,1269.9550,666.6667,0.0000,603.2884,583.4759,0.0000,
2025-02-02,23:20,1435.1281,833.3333,0.0000,601.7948,582.4702,0.0000,
2025-02-02,23:30,1418.5392,833.3333,0.0000,585.2059,565.3021,0.0000,
2025-02-02,23:40,1429.2532,833.3333,0.0000,595.9199,573.9987,0.0000,
2025-02-02,23:50,592.0594,0.0000,0.0000,592.0594,590.2715,0.0000,
2025-02-02,24:00,600.9834,0.0000,0.0000,600.9834,593.3183,0.0000,8550.0000
2025-02-03,00:10,1434.0262,833.3333,0.0000,600.6929,583.7555,0.0000,
2025-02-03,00:20,1439.2820,833.3333,0.0000,605.9487,587.9469,0.0000,
2025-02-03,00:30,611.3345,0.0000,0.0000,611.3345,601.5901,0.0000,
2025-02-03,00:40,611.9031,0.0000,0.0000,611.9031,597.2431,0.0000,
2025-02-03,00:50,615.0542,0.0000,0.0000,615.0542,595.6640,0.0000,
2025-02-03,01:00,621.6157,0.0000,0.0000,621.6157,606.3040,0.0000,
2025-02-03,01:10,639.9224,0.0000,0.0000,639.9224,616.6167,0.0000,
2025-02-03,01:20,648.4537,0.0000,0.0000,648.4537,621.4874,0.0000,
2025-02-03,01:30,643.3370,0.0000,0.0000,643.3370,624.9873,0.0000,
2025-02-03,01:40,648.0478,0.0000,0.0000,648.0478,632.3820,0.0000,
2025-02-03,01:50,639.1759,0.0000,0.0000,639.1759,626.7931,0.0000,
2025-02-03,02:00,635.9611,0.0000,0.0000,635.9611,616.3341,2.3572,
2025-02-03,02:10,644.8026,0.0000,0.0000,644.8026,628.4176,2.0155,
2025-02-03,02:20,668.3097,0.0000,0.0000,668.3097,645.6781,0.0000,
2025-02-03,02:30,661.9248,0.0000,0.0000,661.9248,649.3518,0.0000,
2025-02-03,02:40,648.6395,0.0000,0.0000,648.6395,639.8408,0.0000,
2025-02-03,02:50,679.8847,0.0000,0.0000,679.8847,651.3369,0.0000,
2025-02-03,03:00,706.9538,0.0000,0.0000,706.9538,673.0757,0.0000,
2025-02-03,03:10,673.8883,0.0000,0.0000,673.8883,660.2820,0.0000,
2025-02-03,03:20,659.0961,0.0000,0.0000,659.0961,643.9745,21.0324,
2025-02-03,03:30,659.0999,0.0000,0.0000,659.0999,644.4623,9.2534,
2025-02-03,03:40,676.5127,0.0000,0.0000,676.5127,653.2956,0.0000,
2025-02-03,03:50,681.0674,0.0000,0.0000,681.0674,667.6644,0.0000,
2025-02-03,04:00,692.2442,0.0000,0.0000,692.2442,679.6779,0.0000,
2025-02-03,04:10,691.6736,0.0000,0.0000,691.6736,681.5761,0.0000,
2025-02-03,04:20,698.0383,0.0000,0.0000,698.0383,691.8904,8.3691,
2025-02-03,04:30,715.1510,0.0000,0.0000,715.1510,701.1964,1.0240,
2025-02-03,04:40,698.3859,0.0000,0.0000,698.3859,680.4396,0.0000,
2025-02-03,04:50,677.9442,0.0000,0.0000,677.9442,659.6622,0.0000,
2025-02-03,05:00,689.0834,0.0000,0.0000,689.0834,665.8947,0.0000,
2025-02-03,05:10,713.3264,0.0000,0.0000,713.3264,697.3361,0.0000,
2025-02-03,05:20,723.5203,0.0000,0.0000,723.5203,711.0981,0.0000,
2025-02-03,05:30,709.4712,0.0000,0.0000,709.4712,689.8567,0.0000,
2025-02-03,05:40,1527.0878,833.3333,0.0000,693.7544,669.9176,0.0000,
2025-02-03,05:50,769.7845,0.0000,-0.0000,769.7845,752.0656,0.0000,
2025-02-03,06:00,734.1905,0.0000,162.4927,896.6831,879.8520,0.0000,
2025-02-03,06:10,70.0140,0.0000,833.3333,903.3474,889.2570,0.0000,
2025-02-03,06:20,891.1018,0.0000,0.0000,891.1018,874.9222,0.0000,
