时间,电价(元/kWh),负载(kWh),光伏(kWh),购电量(kWh),充电量(kWh),放电量(kWh),弃光量(kWh),储电量(kWh)
05:30,0.4301,596.6174,18.1620,578.4554,0.0000,0.0000,0.0000,10050.0000
05:40,0.3713,581.0198,30.6934,1383.6598,833.3333,0.0000,0.0000,10800.0000
05:50,0.5708,637.3166,46.1764,591.1402,0.0000,-0.0000,0.0000,10800.0000
06:00,0.9099,733.0121,64.7582,0.0000,0.0000,668.2539,0.0000,10057.4957
06:10,0.9368,742.3354,86.8800,0.0000,0.0000,655.4553,0.0000,9329.2120
06:20,0.8758,728.6320,112.1279,0.0000,0.0000,616.5040,0.0000,8644.2075
06:30,0.8759,732.1588,140.7043,0.0000,0.0000,591.4545,0.0000,7987.0359
06:40,0.8601,730.7659,173.2791,0.0000,0.0000,557.4869,0.0000,7367.6060
06:50,0.8442,739.1293,209.8896,0.0000,0.0000,529.2397,0.0000,6779.5619
07:00,0.8334,753.9094,251.4386,0.0000,0.0000,502.4707,0.0000,6221.2611
07:10,0.8092,754.0120,298.5684,0.0000,0.0000,455.4436,0.0000,5715.2127
07:20,0.7972,757.6478,347.5811,0.0000,0.0000,410.0667,0.0000,5259.5830
07:30,0.7644,753.8736,396.8768,0.0000,0.0000,356.9968,0.0000,4862.9199
07:40,0.6899,730.5594,447.1959,0.0000,0.0000,283.3636,0.0000,4548.0715
07:50,0.8600,818.4100,497.7259,0.0000,0.0000,320.6841,0.0000,4191.7558
08:00,1.1617,966.6221,548.2007,0.0000,0.0000,418.4214,0.0000,3726.8431
08:10,1.1683,980.8043,598.8936,0.0000,0.0000,381.9108,0.0000,3302.4978
08:20,1.0956,958.0119,648.4555,0.0000,0.0000,309.5563,0.0000,2958.5463
08:30,1.0849,961.5097,696.8903,0.0000,0.0000,264.6194,0.0000,2664.5247
08:40,1.0610,959.0351,745.2943,0.0000,0.0000,213.7408,0.0000,2427.0350
08:50,1.0430,970.6968,792.1379,0.0000,0.0000,178.5589,0.0000,2228.6362
09:00,1.0360,992.3767,836.9846,0.0000,0.0000,155.3921,0.0000,2055.9783
09:10,1.0147,993.1616,880.9021,0.0000,0.0000,112.2595,0.0000,1931.2455
09:20,0.9922,988.2592,923.8624,0.0000,0.0000,64.3969,0.0000,1859.6934
09:30,0.9700,987.2971,964.7349,0.0000,0.0000,22.5622,0.0000,1834.6242
09:40,0.9422,984.5977,1002.0217,0.0000,17.4241,0.0000,0.0000,1850.3059
09:50,0.9569,983.1877,1036.0255,0.0000,52.8378,0.0000,0.0000,1897.8599
10:00,0.9977,983.7033,1068.2657,0.0000,84.5624,0.0000,0.0000,1973.9661
10:10,0.9919,982.9132,1099.8968,0.0000,116.9836,0.0000,0.0000,2079.2513
10:20,0.9588,981.1261,1127.7867,0.0000,146.6606,0.0000,0.0000,2211.2458
10:30,0.9549,978.9118,1152.4320,0.0000,173.5202,0.0000,0.0000,2367.4141
10:40,0.9839,976.3385,1177.3675,0.0000,201.0291,0.0000,0.0000,2548.3402
10:50,0.7990,974.1658,1199.5719,0.0000,225.4061,0.0000,0.0000,2751.2057
11:00,0.5025,973.1764,1217.1857,0.0000,244.0093,0.0000,0.0000,2970.8141
11:10,0.4662,973.1184,1231.2808,575.1709,833.3333,0.0000,0.0000,3720.8141
11:20,0.5007,970.5730,1243.2045,0.0000,272.6315,0.0000,0.0000,3966.1824
11:30,0.4827,969.1322,1253.4532,0.0000,284.3210,0.0000,0.0000,4222.0713
11:40,0.4785,972.0658,1261.3673,179.2772,468.5786,0.0000,0.0000,4643.7921
11:50,0.4662,952.1502,1265.3590,520.1245,833.3333,0.0000,0.0000,5393.7921
12:00,0.4432,919.9101,1266.8405,486.4029,833.3333,0.0000,0.0000,6143.7921
12:10,0.4411,915.7984,1268.7193,480.4124,833.3333,0.0000,0.0000,6893.7921
12:20,0.4551,919.0754,1267.1087,485.3000,833.3333,0.0000,0.0000,7643.7921
12:30,0.4463,914.3048,1259.0312,488.6070,833.3333,0.0000,0.0000,8393.7921
12:40,0.4113,910.3938,1245.4564,498.2707,833.3333,0.0000,0.0000,9143.7921
12:50,0.5682,927.6844,1232.2362,0.0000,304.5518,0.0000,0.0000,9417.8887
13:00,0.8279,954.2925,1218.7996,0.0000,264.5072,0.0000,0.0000,9655.9452
13:10,0.8636,956.5826,1199.0902,0.0000,242.5075,0.0000,0.0000,9874.2020
13:20,0.8416,952.4473,1175.5228,0.0000,223.0756,0.0000,0.0000,10074.9700
13:30,0.8618,952.9751,1151.7344,0.0000,198.7593,0.0000,0.0000,10253.8534
13:40,0.8623,951.3748,1128.7346,0.0000,177.3598,0.0000,0.0000,10413.4772
13:50,0.9026,949.4864,1101.2267,0.0000,151.7403,0.0000,0.0000,10550.0435
14:00,0.9754,948.7164,1068.7514,0.0000,120.0350,0.0000,0.0000,10658.0750
14:10,1.0002,947.8548,1035.6693,0.0000,87.8145,0.0000,0.0000,10737.1080
14:20,0.9978,946.4937,1000.1185,0.0000,53.6249,0.0000,0.0000,10785.3704
14:30,1.0271,944.9085,961.1636,0.0000,16.2551,0.0000,0.0000,10800.0000
14:40,1.0906,944.0325,920.2511,0.0000,0.0000,23.7814,0.0000,10773.5763
14:50,0.9376,945.4502,878.1302,0.0000,0.0000,67.3200,0.0000,10698.7762
15:00,0.6694,947.0424,834.9525,112.0899,0.0000,0.0000,0.0000,10698.7762
15:10,0.6600,944.8366,790.5747,266.7327,112.4708,0.0000,0.0000,10800.0000
15:20,0.7217,942.7275,745.2040,197.5235,0.0000,0.0000,0.0000,10800.0000
15:30,0.7308,942.8478,698.0338,244.8140,0.0000,0.0000,0.0000,10800.0000
15:40,0.7534,943.7668,648.2322,295.5346,0.0000,0.0000,0.0000,10800.0000
15:50,0.7823,944.8766,599.0991,345.7775,0.0000,0.0000,0.0000,10800.0000
16:00,0.8055,945.5794,550.6480,394.9315,0.0000,0.0000,0.0000,10800.0000
16:10,0.8271,945.1691,499.7374,445.4317,0.0000,0.0000,0.0000,10800.0000
16:20,0.8519,943.5988,447.9022,495.6966,0.0000,0.0000,0.0000,10800.0000
16:30,0.8791,944.3154,397.1963,547.1191,0.0000,0.0000,0.0000,10800.0000
16:40,0.9024,948.1729,348.1874,599.9854,0.0000,-0.0000,0.0000,10800.0000
16:50,0.9163,933.9436,298.5138,635.4297,0.0000,-0.0000,0.0000,10800.0000
17:00,0.9264,911.1187,250.2880,660.8307,0.0000,-0.0000,0.0000,10800.0000
17:10,0.9462,911.2323,209.1954,702.0369,0.0000,-0.0000,0.0000,10800.0000
17:20,0.9742,910.7878,172.7220,738.0658,0.0000,-0.0000,0.0000,10800.0000
17:30,0.9862,915.4076,139.4629,775.9447,0.0000,-0.0000,0.0000,10800.0000
17:40,0.9760,936.9551,110.8719,826.0833,0.0000,0.0000,0.0000,10800.0000
17:50,1.0742,848.5354,86.1126,762.4228,0.0000,-0.0000,0.0000,10800.0000
18:00,1.2313,701.4281,64.4455,636.9826,0.0000,-0.0000,0.0000,10800.0000
18:10,1.2561,687.1268,45.9655,531.8940,0.0000,109.2673,0.0000,10678.5919
18:20,1.2447,709.3226,30.4921,678.8305,0.0000,0.0000,0.0000,10678.5919
18:30,1.2545,704.3254,18.0569,686.2685,0.0000,0.0000,0.0000,10678.5919
18:40,1.2522,705.5564,9.0520,696.5044,0.0000,0.0000,0.0000,10678.5919
18:50,1.2881,707.7437,3.1095,0.0000,0.0000,704.6343,0.0000,9895.6650
19:00,1.3466,706.5299,0.0459,0.0000,0.0000,706.4840,0.0000,9110.6827
19:10,1.3523,707.4447,0.0383,0.0000,0.0000,707.4065,0.0000,8324.6755
19:20,1.3445,708.6531,0.1001,0.0000,0.0000,708.5530,0.0000,7537.3944
19:30,1.3483,709.4469,0.0000,0.0000,0.0000,709.4469,0.0000,6749.1201
19:40,1.3490,711.2324,0.0000,0.0000,0.0000,711.2324,0.0000,5958.8618
19:50,1.3473,711.6625,0.0000,0.0000,0.0000,711.6625,0.0000,5168.1257
20:00,1.3482,711.4450,0.0000,0.0000,0.0000,711.4450,0.0000,4377.6312
20:10,1.3513,713.7041,0.0000,0.0000,0.0000,713.7041,0.0000,3584.6267
20:20,1.3400,715.2841,0.0000,0.0000,0.0000,715.2841,0.0000,2789.8665
20:30,1.3489,715.2269,0.0000,0.0000,0.0000,715.2269,0.0000,1995.1700
20:40,1.3952,715.6530,0.0000,0.0000,0.0000,715.6530,0.0000,1200.0000
20:50,1.2226,715.8689,0.0000,715.8689,0.0000,-0.0000,0.0000,1200.0000
21:00,0.9332,717.0051,0.0000,717.0051,0.0000,0.0000,0.0000,1200.0000
21:10,0.9068,720.1603,0.0000,720.1603,0.0000,0.0000,0.0000,1200.0000
21:20,0.9371,717.0549,0.0000,717.0549,0.0000,0.0000,0.0000,1200.0000
21:30,0.9371,720.4460,0.0000,720.4460,0.0000,0.0000,0.0000,1200.0000
21:40,0.9871,738.1347,0.0000,738.1347,0.0000,-0.0000,0.0000,1200.0000
21:50,0.7764,671.6936,0.0000,671.6936,0.0000,-0.0000,0.0000,1200.0000
22:00,0.4209,560.4570,0.0000,1393.7903,833.3333,0.0000,0.0000,1950.0000
22:10,0.3859,551.5656,0.0000,1384.8989,833.3333,0.0000,0.0000,2700.0000
22:20,0.4368,568.8260,0.0000,568.8260,0.0000,0.0000,0.0000,2700.0000
22:30,0.4198,563.6552,0.0000,1396.9886,833.3333,0.0000,0.0000,3450.0000
22:40,0.4186,564.4265,0.0000,1397.7599,833.3333,0.0000,0.0000,4200.0000
22:50,0.4241,566.7474,0.0000,566.7474,0.0000,0.0000,0.0000,4200.0000
23:00,0.4237,566.5404,0.0000,1399.8738,833.3333,0.0000,0.0000,4950.0000
23:10,0.4248,567.8302,0.0000,567.8302,0.0000,0.0000,0.0000,4950.0000
23:20,0.4240,569.3586,0.0000,902.6920,333.3333,0.0000,0.0000,5250.0000
23:30,0.4220,570.3302,0.0000,1403.6635,833.3333,0.0000,0.0000,6000.0000
23:40,0.4240,571.6154,0.0000,571.6154,0.0000,0.0000,0.0000,6000.0000
23:50,0.4271,573.1768,0.0000,573.1768,0.0000,0.0000,0.0000,6000.0000
24:00,0.4276,574.1210,0.0000,574.1210,0.0000,0.0000,0.0000,6000.0000
